,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PSZRX G088.88+32.33,17 38 06.7,+60 06 21,0.5027487,ClG,91775.0,0.372,1
1,SDSS J173806.90+600618.0,17 38 06.905,+60 06 18.00,3.3721485,BrightestCG,84993.0,0.33842,1
2,2MASS J17380578+6006503,17 38 05.7795,+60 06 50.350,30.145683,Star,,,1
3,2MASS J17380223+6006153,17 38 02.2366,+60 06 15.403,33.83505,Star,,,1
4,2MASS J17381318+6006039,17 38 13.1843,+60 06 04.026,51.366085,Star,,,1
5,SDSS J173822.79+600701.7,17 38 22.7640,+60 07 01.633,126.763214,BrightestCG,74323.0,0.28813,1
6,SDSSCGB 19858.1,17 38 43.3659,+60 04 39.176,292.52542,Galaxy,,,1
7,SDSSCGB 19858.3,17 38 43.281,+60 04 30.49,295.0814,Galaxy,,,1
8,SDSSCGB 19858,17 38 44.1,+60 04 34,299.4943,Compact_Gr_G,,,1
9,SDSSCGB 19858.4,17 38 44.167,+60 04 28.01,302.15747,Galaxy,,,1
10,SDSSCGB 19858.2,17 38 44.900,+60 04 41.98,302.37494,Galaxy,,,1
11,SDSSCGB 19858.5,17 38 44.958,+60 04 28.58,307.44302,Galaxy,,,1
12,1RXS J173832.2+601026,17 38 32.206,+60 10 26.51,310.7406,X,,,1
13,7C 173654.90+600456.00,17 37 33.2,+60 03 17,310.92822,Radio,,,1
14,NVSS J173733+600315,17 37 33.2,+60 03 15,311.5909,Radio,,,1
15,BD+60  1769,17 38 09.6450,+60 00 38.600,343.1088,HighPM*,,,1
16,SDSS J173839.15+600156.5,17 38 39.1566,+60 01 56.568,359.071,BrightestCG,90569.0,0.36593,1
17,3XMM J173735.1+601106,17 37 35.1,+60 11 07,370.7759,QSO_Candidate,269432.0,3.33,1
18,SDSS J173833.79+601133.0,17 38 33.8067,+60 11 33.064,371.94504,QSO,,,1
19,SDSSCGB 9102.1,17 38 17.822,+60 00 12.31,377.97803,Galaxy,,,1
20,SDSSCGB 9102.2,17 38 17.580,+60 00 10.61,379.2432,Galaxy,,,1
21,SDSSCGB 9102,17 38 17.8,+60 00 07,383.12396,Compact_Gr_G,,,1
22,SDSSCGB 9102.4,17 38 18.192,+60 00 06.78,383.98584,Galaxy,,,1
23,SDSSCGB 9102.3,17 38 17.786,+59 59 57.56,392.323,Galaxy,,,1
