,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PSZRX G167.73-64.15,02 03 41.600,-07 47 05.70,0.0016892538,ClG,104717.0,0.44,1
1,SDSSCGB 2189.1,02 03 41.873,-07 47 06.21,4.0927196,BrightestCG,104682.0,0.43981,1
2,SDSSCGB 2189,02 03 42.2,-07 47 02,9.6542225,Compact_Gr_G,104680.0,0.4398,1
3,SDSSCGB 2189.3,02 03 42.294,-07 47 08.89,10.796094,GtowardsCl,104495.0,0.43879,1
4,SDSSCGB 2189.2,02 03 42.168,-07 46 55.07,13.575995,BrightestCG,110253.0,0.47084,1
5,SDSSCGB 2189.4,02 03 42.420,-07 46 57.22,14.846729,GtowardsCl,,,1
6,DES J020342.06-074651.6,02 03 42.0633,-07 46 51.672,15.6271305,GtowardsCl,,,1
7,DES J020341.35-074722.8,02 03 41.3544,-07 47 22.866,17.549412,GtowardsCl,88331.0,0.35478,1
8,DES J020340.58-074655.6,02 03 40.5827,-07 46 55.621,18.170261,GtowardsCl,,,1
9,NVSS J020342-074652,02 03 42.6,-07 46 53,19.52304,Radio,,,1
10,DES J020340.79-074646.5,02 03 40.7977,-07 46 46.588,22.526747,GtowardsCl,,,1
11,LEDA 1012942,02 03 42.7,-07 47 39,37.096344,Galaxy,,,1
12,DES J020341.57-074628.4,02 03 41.5781,-07 46 28.498,37.203705,GtowardsCl,,,1
13,DES J020341.78-074627.2,02 03 41.7837,-07 46 27.295,38.502354,GtowardsCl,,,1
14,DES J020343.48-074635.2,02 03 43.4887,-07 46 35.261,41.40596,GtowardsCl,,,1
15,DES J020340.06-074627.1,02 03 40.0685,-07 46 27.175,44.746136,GtowardsCl,,,1
16,Gaia DR3 2463433880519342592,02 03 42.6772,-07 46 11.957,56.07693,Star,,,1
17,DES J020345.24-074635.7,02 03 45.2440,-07 46 35.746,61.888573,GtowardsCl,,,1
18,SDSS J020337.68-074641.9,02 03 37.681,-07 46 41.93,62.904472,BrightestCG,104636.0,0.43956,1
19,DES J020343.91-074607.8,02 03 43.9114,-07 46 07.806,67.318085,GtowardsCl,,,1
20,2XMM J020346.3-074640,02 03 46.353,-07 46 40.22,75.09347,X,,,1
21,DES J020345.78-074609.6,02 03 45.7872,-07 46 09.642,83.75626,GtowardsCl,,,1
22,DES J020341.14-074836.6,02 03 41.1410,-07 48 36.609,91.16505,GtowardsCl,,,1
23,DES J020343.03-074531.0,02 03 43.0302,-07 45 31.006,97.05054,GtowardsCl,,,1
24,DES J020346.72-074552.1,02 03 46.7251,-07 45 52.116,105.90811,GtowardsCl,,,1
25,DES J020335.71-074808.8,02 03 35.7178,-07 48 08.888,107.86421,GtowardsCl,,,1
26,GAMA 1479441,02 03 34.96,-07 46 16.9,110.065575,Galaxy,50846.0,0.1868,1
27,GAMA 1479349,02 03 34.69,-07 46 25.9,110.15865,Galaxy,50589.0,0.18575,1
28,DES J020347.75-074551.9,02 03 47.7591,-07 45 51.907,117.57737,GtowardsCl,,,1
29,GAMA 1479038,02 03 50.12,-07 47 21.9,127.64787,Galaxy,50918.0,0.18709,1
30,DES J020333.06-074627.8,02 03 33.0629,-07 46 27.877,132.39543,GtowardsCl,,,1
31,SDSS J020350.47-074727.5,02 03 50.4717,-07 47 27.556,133.64798,BrightestCG,75475.0,0.29342,1
32,GAMA 1478842,02 03 32.91,-07 47 58.0,139.31189,Galaxy,73877.0,0.28609,1
33,DES J020349.08-074539.8,02 03 49.0859,-07 45 39.889,140.50444,GtowardsCl,,,1
34,DES J020351.33-074748.8,02 03 51.3349,-07 47 48.853,150.97473,GtowardsCl,,,1
35,SDSS J020331.02-074735.1,02 03 31.025,-07 47 35.16,159.90524,Galaxy,45656.0,0.16589,1
36,GAMA 1478214,02 03 44.51,-07 50 00.9,180.44804,Galaxy,72707.0,0.28076,1
37,NVSS J020345-075204,02 03 45.799,-07 51 58.05,298.9349,Radio,,,1
38,BD-08   372,02 03 53.5780,-07 42 31.294,327.0983,Star,23.86,8e-05,1
39,2XMM J020319.7-074909,02 03 19.9290,-07 49 09.910,345.17752,X,,,1
