,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,PSZSPT J2017-6258,20 17 55.9,-62 58 32,0.24203466,ClG,121144.0,0.535,1
1,[BRS2016] J201755.73-625811.3,20 17 55.7323,-62 58 11.345,20.686798,Galaxy,120244.0,0.529513,1
2,[BRS2016] J201752.73-625814.7,20 17 52.7316,-62 58 14.653,27.70031,Galaxy,151345.0,0.743281,1
3,[BRS2016] J201757.75-625755.4,20 17 57.7510,-62 57 55.429,38.68624,Galaxy,120834.0,0.533105,1
4,[BRS2016] J201751.79-625758.9,20 17 51.7908,-62 57 58.928,43.339832,Galaxy,122074.0,0.540711,1
5,[BRS2016] J201803.28-625833.6,20 18 03.2784,-62 58 33.632,50.31402,Galaxy,120903.0,0.53353,1
6,[BRS2016] J201752.09-625747.7,20 17 52.0862,-62 57 47.653,51.405785,Galaxy,120109.0,0.528692,1
7,[BRS2016] J201754.03-625930.0,20 17 54.0293,-62 59 30.048,59.430996,Galaxy,121071.0,0.534553,1
8,[BRS2016] J201804.56-625840.6,20 18 04.5557,-62 58 40.649,59.621513,Galaxy,121453.0,0.536891,1
9,[BRS2016] J201752.01-625736.9,20 17 52.0106,-62 57 36.860,61.183548,Galaxy,120389.0,0.530395,1
10,[BRS2016] J201748.10-625904.2,20 17 48.0967,-62 59 04.160,62.144463,Galaxy,123173.0,0.547508,1
11,[BRS2016] J201753.08-625938.7,20 17 53.0750,-62 59 38.684,69.40662,Galaxy,121347.0,0.536242,1
12,[BRS2016] J201753.46-625940.0,20 17 53.4595,-62 59 40.045,70.04738,Galaxy,121223.0,0.535486,1
13,[BRS2016] J201750.31-625951.1,20 17 50.3078,-62 59 51.101,87.79805,Galaxy,121868.0,0.539446,1
14,[BRS2016] J201759.78-625706.5,20 17 59.7835,-62 57 06.469,89.53581,Galaxy,121461.0,0.536942,1
15,[BRS2016] J201801.86-630000.1,20 18 01.8571,-63 00 00.094,96.99253,Galaxy,120656.0,0.532021,1
16,[BRS2016] J201742.07-625920.9,20 17 42.0679,-62 59 20.929,106.19509,Galaxy,157407.0,0.791922,1
17,[BRS2016] J201751.72-630019.3,20 17 51.7222,-63 00 19.321,111.030624,Galaxy,147689.0,0.71521,1
18,[BRS2016] J201800.70-625643.8,20 18 00.6967,-62 56 43.757,113.07731,Galaxy,120663.0,0.532063,1
19,[BRS2016] J201756.51-630026.1,20 17 56.5150,-63 00 26.132,114.20925,Galaxy,121822.0,0.539163,1
20,[BRS2016] J201750.19-625638.3,20 17 50.1910,-62 56 38.317,120.16416,Galaxy,121524.0,0.537327,1
21,[BRS2016] J201755.11-630033.5,20 17 55.1143,-63 00 33.548,121.66616,Galaxy,120758.0,0.532642,1
22,[BRS2016] J201752.44-630034.7,20 17 52.4431,-63 00 34.729,124.967636,Galaxy,120755.0,0.532622,1
23,[BRS2016] J201752.34-625621.4,20 17 52.3402,-62 56 21.397,132.84006,Galaxy,120612.0,0.531754,1
24,[BRS2016] J201811.40-625708.4,20 18 11.4014,-62 57 08.446,134.73058,Galaxy,122292.0,0.542055,1
25,[BRS2016] J201752.74-630045.1,20 17 52.7386,-63 00 45.140,134.8705,Galaxy,122223.0,0.541632,1
26,[BRS2016] J201755.24-630047.7,20 17 55.2446,-63 00 47.653,135.72662,Galaxy,131636.0,0.601761,1
27,[BRS2016] J201752.39-630047.5,20 17 52.3884,-63 00 47.473,137.56839,Galaxy,120648.0,0.531969,1
