,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RSCG 33,09 33 53.0,+10 05 08,0.0,Compact_Gr_G,3280.0,0.011,1
1,TXS 0931+103A,09 33 49.3,+10 04 38,62.33672,Radio,,,1
2,[TKK2018] 3000,09 33 56.40,+10 05 49.4,65.06497,GroupG,3155.0,0.01058,1
3,SDSS J093352.62+100347.0,09 33 52.6274,+10 03 47.001,81.18507,Galaxy,,,1
4,TYC  824-184-1,09 33 56.9102,+10 07 13.309,137.97447,Star,,,1
5,NGC  2914,09 34 02.7855,+10 06 31.380,166.83977,LINER,3128.0,0.01049,1
6,[WGB2006] 093106+10220 b,09 34 02.89,+10 06 29.2,167.10706,Galaxy,3000.0,0.01006,1
7,Gaia DR3 589439323133268096,09 34 05.0790,+10 06 29.329,196.04518,HighPM*,,,1
8,[T2015] nest 100515,09 33 45.6,+10 07 53,197.24742,GroupG,3154.0,0.010577,1
9,UGC  5093,09 34 00.132,+10 01 46.32,227.52919,GtowardsGroup,3122.0,0.01047,1
10,SDSS J093335.71+100505.0,09 33 35.7196,+10 05 04.976,255.21872,QSO,269762.0,3.355,1
11,NGC  2911,09 33 46.1073,+10 09 08.821,261.44666,Seyfert2,3214.0,0.01078,1
12,NGC  2912,09 33 51.2714,+10 09 33.725,266.94904,AGN_Candidate,3296.0,0.011055,1
13,GB6 B0931+1022,09 33 46.60,+10 09 24.0,272.88715,Radio,,,1
14,SDSS J093358.56+100928.3,09 33 58.57,+10 09 28.3,273.0036,AGN_Candidate,3562.0,0.011952,1
15,SDSS J093405.73+100837.7,09 34 05.731,+10 08 37.72,281.6466,Galaxy,19820.0,0.06845,1
16,NVSS J093331+100451,09 33 31.403,+10 04 54.45,319.2386,Radio,,,1
17,Gaia DR3 589466914003598080,09 33 57.0743,+10 10 46.524,343.82886,Galaxy,,,1
18,TYC  821-463-1,09 33 47.8614,+09 59 31.427,345.0238,Star,19.85,6.6e-05,1
19,[CHM2007] HDC  535,09 33 33.1,+10 08 15,348.31717,GroupG,3157.0,0.010587,1
20,2MASS J09341658+1004537,09 34 16.5729,+10 04 53.601,348.42993,Low-Mass*,-10.756,-3.6e-05,1
21,2MASX J09333343+1001202,09 33 33.4338,+10 01 20.558,367.75253,Galaxy,42395.0,0.153,1
22,2MASS J09340466+0959141,09 34 04.6546,+09 59 14.102,393.5446,Low-Mass*,54.435,0.000182,1
23,SDSS J093404.93+095911.6,09 34 04.934,+09 59 11.68,397.54016,Galaxy,25102.0,0.08755,1
24,SDSS J093420.62+100521.8,09 34 20.6223,+10 05 21.881,408.16687,Star,156.0,0.00052,1
25,SDSS J093422.59+100251.7,09 34 22.599,+10 02 51.78,457.8844,BrightestCG,108652.0,0.46181,1
26,SDSS J093424.26+100526.5,09 34 24.265,+10 05 26.55,462.09625,BrightestCG,110995.0,0.47506,1
27,2MASS J09332642+1000417,09 33 26.366,+10 00 41.12,475.36377,AGN_Candidate,3247.0,0.01089,1
28,SDSS J093425.57+100442.2,09 34 25.576,+10 04 42.24,481.78824,BrightestCG,107465.0,0.45517,1
29,[SPD2011] 42498,09 34 25.5,+10 03 27,490.39987,ClG,103947.0,0.4358,1
30,NVSS J093426+100609,09 34 26.0888,+10 06 08.032,492.32443,Radio,106163.0,0.44795,1
31,SDSS J093324.84+100955.9,09 33 24.8486,+10 09 55.916,505.66473,AGN_Candidate,3558.0,0.01194,1
32,USGC U239,09 33 58.1,+09 56 33,520.48083,GroupG,3135.0,0.010514,1
33,BD+10  2019,09 34 25.6226,+10 09 04.858,536.8097,Star,-9.04,-3e-05,1
34,2MASX J09331787+1002469,09 33 17.9109,+10 02 47.392,536.9694,Galaxy,42313.0,0.15268,1
35,[VV2006] J093323.5+101026,09 33 23.5926,+10 10 25.660,538.0216,QSO,272257.0,3.558,1
36,TYC  821-142-1,09 34 03.8702,+09 56 09.545,561.88684,Star,,,1
37,[CHM2007] LDC  655,09 34 28.1,+10 00 54,577.3007,GroupG,3193.0,0.010708,1
38,Gaia DR3 589435264389409280,09 33 41.6048,+09 55 27.467,604.4433,Galaxy,,,1
39,FIRST J093353.7+101517,09 33 53.7059,+10 15 17.776,609.8655,AGN_Candidate,,,1
40,Mahtessian  67,09 34.0,+09 55,616.73047,GroupG,,,1
41,SDSS J093356.01+101539.2,09 33 55.986,+10 15 39.33,632.864,Galaxy,15823.0,0.05425,1
42,IRAS F09312+1029,09 33 54.7,+10 15 51,643.6105,Infrared,,,1
43,SDSS J093347.45+101551.4,09 33 47.450,+10 15 51.40,648.5973,BrightestCG,124688.0,0.55697,1
44,TYC  824-1451-1,09 34 00.9089,+10 15 48.882,651.43317,Star,83.38,0.000278,1
45,SDSS J093347.59+101555.9,09 33 47.597,+10 15 55.96,652.8537,Galaxy,17519.0,0.06025,1
46,[VV2006] J093311.2+100906,09 33 11.2575,+10 09 06.639,660.9804,QSO,197324.0,1.20259,1
47,SDSS J093404.53+101617.3,09 34 04.530,+10 16 17.35,690.65216,QSO,252902.0,2.4332,1
48,2MASX J09331381+1011289,09 33 13.8012,+10 11 28.927,692.90326,Galaxy,33883.0,0.1202,1
49,SDSS J093307.19+101041.8,09 33 07.20,+10 10 41.8,754.1506,AGN_Candidate,3205.0,0.0107497,1
50,SDSS J093418.55+095405.8,09 34 18.558,+09 54 05.83,762.2433,Galaxy,26619.0,0.09311,1
51,Gaia DR3 589515601752870656,09 33 27.7045,+10 16 16.325,765.5916,Star,21.871,7.3e-05,1
52,[SPD2011] 34772,09 33 52.2,+10 17 54,766.3423,ClG,120833.0,0.5331,1
53,SDSS J093336.66+095248.5,09 33 36.665,+09 52 48.54,777.8392,Galaxy,37278.0,0.13314,1
54,Z  63-12,09 34 26.6302,+09 54 59.345,785.658,AGN_Candidate,3140.0,0.01053,1
55,SDSS J093333.54+095232.5,09 33 33.5418,+09 52 32.574,808.2691,Galaxy,14692.0,0.05027,1
56,[VV2006] J093313.8+095532,09 33 13.7353,+09 55 32.841,816.8354,QSO,203286.0,1.28318,1
57,SDSS J093355.29+101851.6,09 33 55.296,+10 18 51.61,824.30664,BrightestCG,121807.0,0.53907,1
58,SDSS J093316.51+101547.9,09 33 16.517,+10 15 47.96,836.46326,QSO,204962.0,1.3071,1
59,[ZS2020] cCGs-2457,09 33 35.4,+09 51 53,836.63684,Compact_Gr_G,14550.0,0.04977,1
60,Gaia DR3 589434512770609280,09 33 00.0399,+09 59 59.856,840.73425,Galaxy,,,1
61,SDSS J093450.03+100401.3,09 34 50.0409,+10 04 01.337,845.051,AGN_Candidate,3336.0,0.01119,1
62,SDSS J093301.23+095856.9,09 33 01.2330,+09 58 56.978,849.8885,QSO,251397.0,2.3748,1
63,SDSS J093337.92+095126.1,09 33 37.9340,+09 51 26.212,851.39594,Galaxy,14382.0,0.04918,1
64,SDSS J093351.80+101928.5,09 33 51.805,+10 19 28.50,860.6761,BrightestCG,,,1
65,SDSS J093401.72+095055.8,09 34 01.728,+09 50 55.87,861.83234,Galaxy,10263.0,0.03484,1
66,SDSS J093341.12+095102.5,09 33 41.1336,+09 51 02.629,863.3562,Galaxy,37202.0,0.13285,1
67,[VV2006] J093257.0+100058,09 32 57.0411,+10 00 57.942,863.50024,QSO,180211.0,1.0035,1
68,SDSS J093337.36+095112.6,09 33 37.3713,+09 51 12.667,866.6552,Galaxy,14578.0,0.04987,1
69,[PA2008] 143.405698+09.85351,09 33 37.37,+09 51 12.6,866.7251,PairG,,,1
70,SDSS J093255.25+100108.9,09 32 55.253,+10 01 08.95,885.77454,QSO,243544.0,2.108,1
71,SDSS J093403.02+095033.8,09 34 03.020,+09 50 33.87,886.5722,Galaxy,10269.0,0.03486,1
72,BD+10  2018,09 33 52.1676,+10 19 59.097,891.1818,Star,-5.4,-1.8e-05,1
73,SDSS J093355.25+101959.9,09 33 55.2558,+10 19 59.978,892.6,HorBranch*,6.0,2e-05,1
74,LP  488-5,09 34 50.1346,+09 59 36.044,906.8382,HighPM*,,,1
75,TYC  824-1863-1,09 32 53.9215,+10 09 43.314,914.7918,Star,31.98,0.000107,1
76,Gaia DR3 589416744490957184,09 33 35.7089,+09 50 19.822,924.1844,WhiteDwarf_Candidate,,,1
77,Gaia DR3 589463821627132032,09 34 51.9555,+10 10 21.403,925.2459,Star,132.976,0.000444,1
78,SDSS J093410.17+102003.9,09 34 10.1798,+10 20 03.977,931.1809,Star,159.0,0.00053,1
79,SDSS J093308.23+095349.8,09 33 08.2349,+09 53 49.822,947.2229,WhiteDwarf,3.0,1e-05,1
80,Gaia DR3 589418874793917952,09 34 09.3414,+09 49 48.695,950.4776,Star,-25.674,-8.6e-05,1
81,[VV2006] J093415.0+102005,09 34 15.0724,+10 20 05.993,955.2839,QSO,237732.0,1.943,1
82,SDSS J093249.60+100038.7,09 32 49.6063,+10 00 38.769,974.2572,HotSubdwarf,31.0,0.000103,1
83,SDSS J093356.39+102215.6,09 33 56.3893,+10 22 15.831,1029.0486,WhiteDwarf,-216.0,-0.00072,1
84,[VV2006] J093430.9+095036,09 34 30.8504,+09 50 35.980,1035.9117,QSO,257216.0,2.617,1
85,[RRB2014] RM J093502.2+100803.7,09 35 02.2305,+10 08 03.664,1037.3148,ClG,89201.0,0.3591,1
86,[VV2006] J093341.8+102219,09 33 41.8215,+10 22 18.843,1043.9666,QSO,242548.0,2.078,1
87,SDSS J093312.91+101953.9,09 33 12.92,+10 19 54.0,1065.4194,AGN_Candidate,5000.0,0.016821,1
88,TG  10,09 35,+10.2,1071.6556,GroupG,,,1
89,NGC  2919,09 34 47.5343,+10 17 01.442,1075.7448,GtowardsGroup,2450.0,0.008206,1
90,AT 2019enr,09 34 47.71,+10 17 12.8,1085.2363,Supernova_Candidate,,,1
91,[VV2006] J093244.7+095804,09 32 44.7676,+09 58 05.242,1092.9274,QSO,243049.0,2.093,1
92,SDSS J093408.26+094708.8,09 34 08.2729,+09 47 08.734,1102.6035,Galaxy,24861.0,0.08667,1
93,SDSS J093333.49+102314.3,09 33 33.491,+10 23 14.30,1123.8228,AGN_Candidate,3072.0,0.0103,1
94,ATO J143.1901+10.2334,09 32 45.6349,+10 14 00.461,1128.1881,Variable*,,,1
95,SDSS J093337.77+102333.8,09 33 37.771,+10 23 33.81,1128.428,Galaxy,49028.0,0.17942,1
96,SDSS J093325.07+102247.9,09 33 25.0772,+10 22 47.975,1137.2943,Star,129.0,0.00043,1
