,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RX J1017.7-0002,10 17 46.57,-00 03 44.7,0.013416406,ClG,18574.0,0.064,1
1,MGC  5029,10 17 44.8115,-00 03 29.950,30.220741,Star,,,1
2,SDSS J101747.25-000316.2,10 17 47.2546,-00 03 16.275,30.222511,Galaxy,18720.0,0.06452,1
3,MGC  5026,10 17 44.6203,-00 03 20.796,37.770874,Star,,,1
4,SDSS J101743.10-000405.3,10 17 43.1069,-00 04 05.332,55.893482,Galaxy,18096.0,0.0623,1
5,MGC  5018,10 17 49.26,-00 02 52.6,65.89788,Star,,,1
6,SDSS J101742.17-000330.4,10 17 42.1721,-00 03 30.462,67.48681,Galaxy,17871.0,0.0615,1
7,MGC  5013,10 17 45.73,-00 02 36.1,69.74754,Galaxy,45107.0,0.16371,1
8,[CPV2011] GRPM2 1004,10 17 43.4,-00 04 38,71.44784,GroupG,18349.0,0.0632,1
9,2dFGRS TGN356Z073,10 17 45.25,-00 02 34.3,73.131386,Galaxy,18490.0,0.0637,1
10,2SLAQ J101743.30-000238.8,10 17 43.300,-00 02 38.75,82.19065,QSO,180073.0,1.00206,1
11,SDSS J101748.32-000511.5,10 17 48.323,-00 05 11.52,90.71258,Galaxy,115883.0,0.5034,1
12,SDSSCGB 3529.1,10 17 46.847,-00 02 10.20,94.5913,Galaxy,,,1
13,[BMA2003] BH 318,10 17 48,-00 02.2,95.149315,ClG,,,1
14,SDSSCGB 3529,10 17 47.0,-00 02 05,99.90842,Compact_Gr_G,,,1
15,MGC 95527,10 17 47.304,-00 02 05.27,100.03772,Galaxy,45374.0,0.16477,1
16,SDSSCGB 3529.3,10 17 46.896,-00 02 03.63,101.188225,Galaxy,,,1
17,SDSSCGB 3529.4,10 17 46.772,-00 02 02.25,102.4948,Galaxy,,,1
18,2MASX J10174831-0002014,10 17 48.2987,-00 02 01.046,106.84807,Galaxy,17967.0,0.06184,1
19,MGC  4993,10 17 45.58,-00 01 56.6,109.11523,Star,,,1
20,2dFGRS TGN356Z067,10 17 52.54,-00 02 34.0,114.09507,Galaxy,29638.0,0.10427,1
21,MGC  5028,10 17 54.32,-00 03 24.8,117.94091,Star,,,1
22,2MASX J10174864-0001504,10 17 48.644,-00 01 50.49,118.37126,BrightestCG,18459.0,0.06359,1
23,SDSS J101752.06-000210.7,10 17 52.0680,-00 02 10.788,124.98353,Galaxy,18571.0,0.06399,1
24,MGC  5037,10 17 54.9978,-00 04 01.463,127.523964,Star,-21.57,-7.2e-05,1
25,LAMOST J101739.18-000239.2,10 17 39.18,-00 02 39.1,128.80634,Galaxy,18136.0,0.06244,1
26,MGC  4980,10 17 49.30,-00 01 36.1,134.96245,Galaxy,18784.0,0.06475,1
27,MGC  5058,10 17 38.5333,-00 05 11.574,148.5907,Star,,,1
28,2dFGRS TGN356Z081,10 17 38.7,-00 02 06,153.8749,Galaxy,27323.0,0.0957,1
