,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RX J1257.2+4738,12 57 12.20,+47 38 06.5,0.0,ClG,166015.0,0.866,1
1,[LUM2016] 13,12 57 13.0,+47 38 10,8.28374,Galaxy,165903.0,0.865,1
2,[LUM2016] 10,12 57 10.8,+47 38 03,14.5490265,Galaxy,165792.0,0.864,1
3,[LUM2016] 9,12 57 10.8,+47 37 57,17.044245,Galaxy,165568.0,0.862,1
4,[PSC2013b] g-01419,12 57 13.8,+47 38 14,17.793036,Galaxy,171851.0,0.92,1
5,[PSC2013b] g-01463,12 57 12.4,+47 37 47,19.287928,Galaxy,168653.0,0.89,1
6,[PSC2013b] g-01402,12 57 14.4,+47 38 21,26.610476,Galaxy,164556.0,0.853,1
7,[PSC2013b] g-01510,12 57 10.9,+47 37 27,41.376194,Galaxy,168653.0,0.89,1
8,[PSC2013b] g-01773,12 57 16.5,+47 37 27,58.142105,Galaxy,161922.0,0.83,1
9,[PSC2013b] g-01495,12 57 11.3,+47 37 07,59.906372,Galaxy,165344.0,0.86,1
10,RX J1257.0+4738,12 57 05.17,+47 38 17.1,71.84171,ClG,,,1
11,[LUM2016] 8,12 57 07.9,+47 37 08,72.4411,Galaxy,165120.0,0.858,1
12,[PSC2013b] g-01630,12 57 07.1,+47 37 04,80.50193,Galaxy,166460.0,0.87,1
13,SDSS J125704.28+473815.7,12 57 04.2701,+47 38 15.676,80.67436,QSO,101712.0,0.42372,1
14,[PSC2013b] g-01654,12 57 05.7,+47 38 59,83.984406,Galaxy,161922.0,0.83,1
15,[PSC2013b] g-01391,12 57 15.4,+47 39 26,85.4486,Galaxy,165344.0,0.86,1
16,[PSC2013b] g-01702,12 57 04.1,+47 37 34,88.16454,Galaxy,165344.0,0.86,1
17,1RXS J125702.7+473800,12 57 02.702,+47 38 00.02,96.22341,X,,,1
18,[PSC2013b] g-01858,12 57 22.6,+47 38 03,105.026436,Galaxy,165344.0,0.86,1
19,[PSC2013b] g-00588,12 57 16.8,+47 36 29,108.10062,Galaxy,169731.0,0.9,1
20,[PSC2013b] g-01044,12 57 03.1,+47 39 05,109.25579,Galaxy,160755.0,0.82,1
21,[PSC2013b] g-01584,12 57 08.8,+47 39 52,111.19355,Galaxy,172893.0,0.93,1
