,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RXC J0953.6+0142,09 53 41.8,+01 41 58,0.6322052,ClG,27946.0,0.098,1
1,2MASX J09534139+0142026,09 53 41.3796,+01 42 02.397,7.6855736,BrightestCG,28046.0,0.09837,1
2,SDSS J095339.74+014218.4,09 53 39.7474,+01 42 18.503,36.979668,Low-Mass*,58.879,0.000196,1
3,2MASS J09533943+0141375,09 53 39.4094,+01 41 37.774,41.15459,Star,,,1
4,[VV2006] J095345.1+014251,09 53 45.2255,+01 42 51.935,74.47744,QSO,225412.0,1.65727,1
5,2dFGRS TGN419Z204,09 53 35.86,+01 42 23.8,92.722374,Galaxy,48280.0,0.1764,1
6,SDSS J095334.29+014209.2,09 53 34.30,+01 42 09.4,113.0268,Galaxy,,,1
7,FIRST J095334.8+014338,09 53 34.8897,+01 43 38.204,144.13747,Galaxy,100791.0,0.41879,1
8,2dFGRS TGN419Z211,09 53 32.3,+01 42 30,145.98732,Galaxy,29404.0,0.1034,1
9,2MASX J09534026+0144226,09 53 40.2492,+01 44 22.862,146.71648,Galaxy,,,1
10,3XMM J095342.2+013846,09 53 42.2084,+01 38 47.005,191.09311,Seyfert1,118887.0,0.5213,1
11,2dFGRS TGN419Z215,09 53 28.397,+01 42 16.49,201.80515,Galaxy,24576.0,0.08563,1
12,SDSS J095338.36+013820.9,09 53 38.36,+01 38 21.0,223.04552,Galaxy,,,1
13,SDSS J095335.33+013803.1,09 53 35.3354,+01 38 03.171,254.04585,QSO,222924.0,1.6077,1
14,2dFGRS TGN419Z187,09 53 59.1605,+01 41 54.700,260.31433,Galaxy,27784.0,0.0974,1
15,2dFGRS TGN419Z186,09 53 59.67,+01 42 48.1,272.57495,Galaxy,27133.0,0.095,1
16,SDSS J095322.34+014321.1,09 53 22.3415,+01 43 21.061,303.33963,EmissionG,42540.0,0.15357,1
17,[VV2006] J095329.9+013700,09 53 29.9165,+01 37 00.552,346.73108,QSO,200622.0,1.24633,1
18,WiggleZ S09J095345592+01361594,09 53 45.5925,+01 36 15.941,346.75342,Galaxy,92268.0,0.37449,1
19,[LI97] F9,09 53 40.1,+01 35 50,368.8817,HI,,,1
20,2dFGRS TGN419Z228,09 53 17.2,+01 41 10,371.94916,Galaxy,9933.0,0.0337,1
21,[LI97] F10,09 53 37.4,+01 35 49,374.85117,HI,,,1
22,LEDA 1200559,09 53 58.9,+01 37 12,384.1003,Galaxy,,,1
23,[LI97] F11,09 53 33.7,+01 35 51,386.57346,HI,,,1
24,2dFGRS TGN419Z232,09 53 16.44,+01 43 08.6,386.72958,Galaxy,28784.0,0.1011,1
25,SDSS J095356.48+013639.0,09 53 56.4866,+01 36 38.991,387.6312,Galaxy,27483.0,0.09629,1
26,WiggleZ S09J095321342+01375498,09 53 21.3419,+01 37 54.977,391.34482,Galaxy,105433.0,0.44393,1
27,LEDA 1206492,09 53 43.2813,+01 48 30.133,392.7621,BrightestCG,27908.0,0.09786,1
28,[LI97] F8,09 53 41.7,+01 35 18,400.0028,HI,,,1
29,SDSS J095406.77+013919.1,09 54 06.773,+01 39 19.13,406.7427,QSO,261438.0,2.8253,1
30,SDSS J095334.75+013524.3,09 53 34.7619,+01 35 24.474,407.429,HIIG,1155.0,0.00386,1
31,[LI97] F2,09 53 41.7,+01 35 10,408.00275,HI,,,1
32,[VV2006] J095318.5+013817,09 53 18.6906,+01 38 18.328,410.2591,QSO,218888.0,1.532,1
33,[DCA2018] 49508,09 53 58.03,+01 36 22.9,414.2095,GroupG,27629.0,0.09683,1
34,JCMTSF J095337.3+013508,09 53 37.3,+01 35 08,415.51474,smmRad,,,1
