,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RXC J1212.3-1816,12 12 18.9,-18 16 43,0.0,ClG,70098.0,0.269,1
1,[GSB2009] J121217.81-181656.6,12 12 17.81,-18 16 56.6,20.639309,Galaxy,84605.0,0.33654,1
2,ATO J183.0855-18.2740,12 12 20.5236,-18 16 26.602,28.349005,Variable*,,,1
3,[GSB2009] J121221.69-181658.1,12 12 21.69,-18 16 58.1,42.510105,Galaxy,69527.0,0.26645,1
4,1RXS J121217.1-181750,12 12 17.1,-18 17 50,71.73715,X,,,1
5,[GSB2009] J121219.78-181822.7,12 12 19.78,-18 18 22.7,100.48465,Galaxy,70678.0,0.2716,1
6,[GSB2009] J121225.15-181830.6,12 12 25.15,-18 18 30.6,139.64557,Galaxy,89693.0,0.36155,1
7,Gaia DR2 3519229819328762240,12 12 07.7119,-18 16 56.987,159.96442,WhiteDwarf_Candidate,,,1
8,NVSS J121205-181404,12 12 05.9,-18 14 06,242.47592,Radio,,,1
9,BD-17  3574,12 12 36.5660,-18 19 09.161,290.96515,HighPM*,25.21,8.4e-05,1
