,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,RzCS 031,02 20 45.46,-03 25 59.7,0.043242738,ClG,83250.0,0.33,1
1,SDSS J022045.49-032559.8,02 20 45.4942,-03 25 59.864,0.538205,GtowardsCl,82833.0,0.328,1
2,DES J022045.30-032604.4,02 20 45.3092,-03 26 04.486,5.291795,GtowardsCl,,,1
3,DES J022045.87-032548.8,02 20 45.8734,-03 25 48.821,12.516912,GtowardsCl,,,1
4,DES J022045.39-032543.4,02 20 45.3926,-03 25 43.494,16.23716,GtowardsCl,,,1
5,DES J022044.21-032557.5,02 20 44.2158,-03 25 57.570,18.75014,GtowardsCl,,,1
6,DES J022044.75-032535.8,02 20 44.7557,-03 25 35.808,26.115446,GtowardsCl,,,1
7,DES J022043.79-032545.4,02 20 43.7932,-03 25 45.467,28.730778,GtowardsCl,,,1
8,DES J022046.67-032534.7,02 20 46.6701,-03 25 34.796,30.797588,GtowardsCl,,,1
9,DES J022046.97-032532.0,02 20 46.9785,-03 25 32.056,35.793285,GtowardsCl,,,1
10,DES J022044.68-032522.4,02 20 44.6835,-03 25 22.488,38.985874,GtowardsCl,,,1
11,HSCS J022043.93-032514.0,02 20 43.9354,-03 25 14.054,51.03545,Galaxy,206664.0,1.332,1
12,DES J022048.77-032541.9,02 20 48.7753,-03 25 41.938,52.722733,GtowardsCl,,,1
13,HSCS J022049.05-032549.8,02 20 49.0571,-03 25 49.817,54.75991,Galaxy,187662.0,1.085,1
14,HSCS J022044.41-032506.5,02 20 44.4198,-03 25 06.525,55.408222,Galaxy,199558.0,1.232,1
15,DES J022048.41-032510.8,02 20 48.4191,-03 25 10.897,65.91592,GtowardsCl,,,1
16,DES J022040.64-032602.3,02 20 40.6445,-03 26 02.376,72.15314,GtowardsCl,,,1
17,DES J022044.27-032441.5,02 20 44.2710,-03 24 41.535,80.16683,GtowardsCl,,,1
18,DES J022047.33-032717.0,02 20 47.3302,-03 27 17.044,82.256836,GtowardsCl,,,1
19,SDSS J022041.63-032700.4,02 20 41.638,-03 27 00.43,83.44533,QSO,137945.0,0.644576,1
20,DES J022050.72-032531.4,02 20 50.7300,-03 25 31.439,83.8162,GtowardsCl,,,1
21,DES J022040.00-032705.6,02 20 40.0038,-03 27 05.673,105.00709,GtowardsCl,,,1
22,HSCS J022044-032741,02 20 43.650,-03 27 41.17,105.02474,ClG,80123.0,0.3151,1
23,DES J022040.89-032721.8,02 20 40.8951,-03 27 21.828,106.84881,GtowardsCl,,,1
24,HSCS J022050.28-032719.9,02 20 50.2837,-03 27 19.957,107.9714,Galaxy,192825.0,1.146,1
25,DES J022039.03-032655.1,02 20 39.0386,-03 26 55.124,110.97794,GtowardsCl,,,1
26,2XLSSd J022038.9-032454,02 20 38.95,-03 24 52.5,118.327034,Galaxy,220248.0,1.5569,1
27,HSCS J022045.75-032814.8,02 20 45.7588,-03 28 14.845,135.21945,Galaxy,191002.0,1.124,1
28,DES J022053.54-032729.2,02 20 53.5479,-03 27 29.206,150.58626,GtowardsCl,,,1
29,DES J022051.17-032353.4,02 20 51.1732,-03 23 53.402,152.5427,GtowardsCl,,,1
30,DES J022055.58-032538.6,02 20 55.5803,-03 25 38.664,152.98566,GtowardsCl,,,1
31,2XLSSd J022035.8-032508,02 20 35.74,-03 25 08.5,154.25682,AGN,239657.0,1.9951,1
32,HSCS J022052.69-032353.0,02 20 52.6925,-03 23 53.015,166.66351,Galaxy,196033.0,1.186,1
33,TXS 0218-036,02 20 36.7,-03 23 51,183.76172,Radio,,,1
34,HSCS J022047.78-032252.1,02 20 47.7875,-03 22 52.136,190.77371,Galaxy,220683.0,1.565,1
35,DES J022041.08-032300.3,02 20 41.0880,-03 23 00.323,190.94975,GtowardsCl,,,1
36,2XLSSd J022057.6-032700,02 20 57.6536,-03 27 00.815,192.53233,Galaxy,204824.0,1.3051,1
37,SDSS J022050.77-032919.4,02 20 50.7808,-03 29 19.583,215.1751,QSO,81927.0,0.323665,1
38,HSCS J022050.57-032925.0,02 20 50.5712,-03 29 25.097,219.19095,Galaxy,199183.0,1.227,1
39,HSCS J022048.09-032222.8,02 20 48.0990,-03 22 22.876,220.39554,Galaxy,213202.0,1.434,1
40,2XLSSd J022055.2-032314,02 20 55.22,-03 23 14.2,220.79474,AGN,113747.0,0.4909,1
41,SDSS J022058.52-032753.4,02 20 58.5180,-03 27 53.485,226.21638,QSO,192911.0,1.147049,1
42,HSCS J022042.19-032218.4,02 20 42.1932,-03 22 18.459,226.58354,Galaxy,198123.0,1.213,1
43,HSCS J022045.12-032205.8,02 20 45.1233,-03 22 05.897,233.8569,Galaxy,212344.0,1.42,1
44,1RXS J022050.4-032945,02 20 50.400,-03 29 44.99,237.12094,X,,,1
45,SDSS J022045.66-032202.1,02 20 45.666,-03 22 02.14,237.58052,QSO,207524.0,1.344834,1
