,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SDSS CE 011.007808+00.108698,00 44 01.36,+00 06 47.6,0.0,ClG,58486.0,0.2185,1
1,SDSS J004401.28+000648.1,00 44 01.2824,+00 06 48.170,1.2962232,BrightestCG,58772.0,0.21971,1
2,SDSS J004401.20+000651.6,00 44 01.2063,+00 06 51.671,4.6781244,GtowardsCl,58722.0,0.2195,1
3,LEDA 1157457,00 44 01.3592,+00 06 54.471,6.8718696,BrightestCG,58152.0,0.21709,1
4,SDSS J004401.76+000651.7,00 44 01.761,+00 06 51.72,7.2938128,Galaxy,59748.0,0.22385,1
5,DES J004402.37+000648.1,00 44 02.3713,+00 06 48.109,15.178695,GtowardsCl,,,1
6,DES J004401.08+000622.7,00 44 01.0825,+00 06 22.762,25.184002,GtowardsCl,,,1
7,DES J004402.87+000659.4,00 44 02.8798,+00 06 59.426,25.681242,GtowardsCl,,,1
8,DES J004401.61+000612.5,00 44 01.6140,+00 06 12.538,35.268677,GtowardsCl,,,1
9,DES J004358.60+000637.2,00 43 58.6045,+00 06 37.214,42.617073,GtowardsCl,,,1
10,DES J004358.86+000709.2,00 43 58.8610,+00 07 09.245,43.285744,GtowardsCl,,,1
11,DES J004403.72+000618.1,00 44 03.7270,+00 06 18.172,46.114643,GtowardsCl,51170.0,0.18812,1
12,DES J004357.86+000636.6,00 43 57.8696,+00 06 36.625,53.493965,GtowardsCl,,,1
13,2MASS J00435809+0007202,00 43 58.1056,+00 07 20.411,58.81746,Low-Mass*,23.0,7.7e-05,1
14,DES J004404.18+000602.7,00 44 04.1804,+00 06 02.724,61.673557,GtowardsCl,,,1
15,DES J004357.46+000608.4,00 43 57.4583,+00 06 08.506,70.380226,GtowardsCl,58194.0,0.21727,1
16,WiggleZ R01J004405627+00072184,00 44 05.6359,+00 07 21.742,72.65928,Galaxy,150746.0,0.73862,1
17,DES J004406.01+000626.0,00 44 06.0196,+00 06 26.009,73.15254,GtowardsCl,,,1
18,SDSS J004356.61+000625.9,00 43 56.6099,+00 06 25.986,74.45617,GtowardsCl,58308.0,0.21775,1
19,DES J004358.48+000540.9,00 43 58.4879,+00 05 40.906,79.398254,GtowardsCl,,,1
20,DES J004358.78+000811.6,00 43 58.7885,+00 08 11.651,92.47927,GtowardsCl,,,1
21,CAIRNS J004407.27+000717.0,00 44 07.2809,+00 07 16.933,93.53299,BrightestCG,58540.0,0.21873,1
22,SDSS J004356.59+000750.9,00 43 56.5967,+00 07 50.926,95.473434,QSO,260604.0,2.78152,1
23,DES J004408.24+000703.1,00 44 08.2463,+00 07 03.123,104.45354,GtowardsCl,,,1
24,DES J004354.56+000618.7,00 43 54.5610,+00 06 18.749,105.98638,GtowardsCl,,,1
25,DES J004359.84+000503.8,00 43 59.8389,+00 05 03.849,106.22947,GtowardsCl,,,1
26,DES J004354.52+000557.5,00 43 54.5166,+00 05 57.527,114.21218,GtowardsCl,,,1
27,DES J004408.59+000603.8,00 44 08.5946,+00 06 03.867,117.00025,GtowardsCl,,,1
28,DES J004353.35+000554.7,00 43 53.3475,+00 05 54.784,131.27977,GtowardsCl,,,1
29,[PWJ2018] J004356.61+000457.36,00 43 56.5885,+00 04 57.255,131.52357,Radio,176586.0,0.966344,1
30,SDSS J004358.02+000443.0,00 43 58.020,+00 04 43.07,134.23062,Galaxy,143016.0,0.68061,1
31,2SLAQ J004357.96+000857.5,00 43 57.96,+00 08 57.5,139.55284,Galaxy,116171.0,0.5051,1
32,DES J004351.47+000646.5,00 43 51.4710,+00 06 46.553,148.33739,GtowardsCl,,,1
33,2MASX J00435150+0006160,00 43 51.5317,+00 06 16.561,150.6558,Seyfert2,30612.0,0.1079,1
34,DES J004352.41+000537.4,00 43 52.4064,+00 05 37.485,151.50356,GtowardsCl,,,1
35,DES J004400.01+000917.7,00 44 00.0196,+00 09 17.787,151.52701,GtowardsCl,,,1
36,SDSSCGB 15867.1,00 44 03.5108,+00 09 24.986,160.65935,Galaxy,,,1
37,DES J004350.85+000610.6,00 43 50.8496,+00 06 10.600,161.93912,GtowardsCl,,,1
38,SDSSCGB 15867.3,00 44 04.564,+00 09 22.69,162.36581,Galaxy,,,1
39,SDSSCGB 15867,00 44 04.2,+00 09 30,167.89435,Compact_Gr_G,,,1
40,SDSSCGB 15867.2,00 44 03.800,+00 09 36.43,172.75162,Galaxy,,,1
41,DES J004356.05+000924.6,00 43 56.0503,+00 09 24.605,176.05026,GtowardsCl,,,1
