,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SDSS CE 227.319229-00.249662,15 09 18.300,-00 14 32.70,0.0012,ClG,68641.0,0.2625,1
1,SDSS J150919.09-001419.5,15 09 19.095,-00 14 19.56,17.74494,BrightestCG,68632.0,0.26246,1
2,DES J150916.13-001444.7,15 09 16.1398,-00 14 44.708,34.55567,GtowardsCl,,,1
3,DES J150915.66-001457.9,15 09 15.6661,-00 14 57.976,46.902287,GtowardsCl,,,1
4,DES J150916.28-001513.0,15 09 16.2841,-00 15 13.087,50.452503,GtowardsCl,,,1
5,DES J150920.57-001355.1,15 09 20.5744,-00 13 55.188,50.705574,GtowardsCl,,,1
6,DES J150921.55-001416.6,15 09 21.5571,-00 14 16.682,51.414753,GtowardsCl,,,1
7,DES J150921.71-001441.2,15 09 21.7156,-00 14 41.229,51.938293,GtowardsCl,,,1
8,DES J150916.68-001522.2,15 09 16.6842,-00 15 22.257,55.165955,GtowardsCl,,,1
9,DES J150913.99-001438.8,15 09 13.9906,-00 14 38.878,64.93526,GtowardsCl,,,1
10,WiggleZ S15J150922688-00142791,15 09 22.6882,-00 14 27.906,65.99616,Galaxy,136394.0,0.63385,1
11,WiggleZ S15J150916851-00154095,15 09 16.8508,-00 15 40.946,71.62459,Galaxy,139503.0,0.65549,1
12,DES J150913.41-001517.5,15 09 13.4120,-00 15 17.563,85.955635,GtowardsCl,,,1
13,DES J150918.55-001306.5,15 09 18.5543,-00 13 06.507,86.27757,GtowardsCl,,,1
14,DES J150912.62-001409.7,15 09 12.6205,-00 14 09.703,88.240944,GtowardsCl,,,1
15,2SLAQ J150922.15-001323.1,15 09 22.15,-00 13 23.0,90.51573,Galaxy,136619.0,0.6354,1
16,DES J150924.43-001457.8,15 09 24.4399,-00 14 57.835,95.46647,GtowardsCl,,,1
17,DES J150920.48-001604.0,15 09 20.4822,-00 16 04.083,97.06844,GtowardsCl,,,1
18,DES J150922.24-001256.5,15 09 22.2419,-00 12 56.516,112.90427,GtowardsCl,,,1
19,2SLAQ J150925.54-001529.8,15 09 25.54,-00 15 29.8,122.695335,Galaxy,139036.0,0.6522,1
20,WiggleZ S15J150922084-00124375,15 09 22.0842,-00 12 43.747,122.85218,Galaxy,14792.0,0.05062,1
21,DES J150919.26-001230.2,15 09 19.2656,-00 12 30.286,123.268105,GtowardsCl,,,1
22,WiggleZ S15J150926600-00142300,15 09 26.6000,-00 14 22.996,124.876785,Galaxy,125471.0,0.5619,1
23,2SLAQ J150926.95-001407.3,15 09 26.949,-00 14 07.31,132.19504,QSO,201658.0,1.2605,1
24,2SLAQ J150926.55-001541.1,15 09 26.55,-00 15 41.1,141.39423,Galaxy,117384.0,0.5123,1
25,SDSS J150910.46-001259.7,15 09 10.4661,-00 12 59.698,149.85672,Galaxy,134525.0,0.6211,1
26,2SLAQ J150922.80-001648.0,15 09 22.80,-00 16 48.0,151.20267,Galaxy,117468.0,0.5128,1
27,SDSS J150923.39-001221.9,15 09 23.3903,-00 12 21.901,151.45364,GtowardsCl,68956.0,0.2639,1
28,SDSS J150928.16-001602.9,15 09 28.168,-00 16 02.91,173.34456,Galaxy,25274.0,0.08818,1
29,SDSS J150917.65-001135.0,15 09 17.657,-00 11 35.02,177.94554,Galaxy,25132.0,0.08766,1
30,UCAC4 450-057487,15 09 19.2660,-00 11 34.591,178.69644,Star,-40.89,-0.000136,1
31,WiggleZ S15J150923433-00114596,15 09 23.4329,-00 11 45.956,183.66081,Galaxy,145600.0,0.69957,1
32,DES J150910.66-001705.2,15 09 10.6651,-00 17 05.240,190.74553,GtowardsCl,,,1
33,NSC J150920-001120,15 09 20.66,-00 11 21.2,194.74443,ClG,53359.0,0.1971,1
34,WiggleZ S15J150922324-00174440,15 09 22.3242,-00 17 44.398,200.97656,Galaxy,136686.0,0.63586,1
35,TYC 5001-341-1,15 09 05.0642,-00 12 41.180,227.71149,Star,,,1
36,2SLAQ J150931.96-001252.3,15 09 31.9648,-00 12 52.271,228.25183,QSO,209985.0,1.3825,1
37,2SLAQ J150907.02-001710.3,15 09 07.0141,-00 17 10.267,231.26807,QSO,240171.0,2.0094,1
