,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SDSS-C4 1065,15 06 15.1,+03 09 21,0.0,ClG,12508.0,0.04263,1
1,2MASX J15061170+0308332,15 06 11.6829,+03 08 33.248,69.99605,BrightestCG,12462.0,0.04247,1
2,[LH2011] 2770,15 06.3,+03 08,91.91058,GroupG,12610.0,0.042985,1
3,LEDA 1246531,15 06 21.0928,+03 09 43.925,92.63802,Galaxy,12416.0,0.04231,1
4,WiggleZ S15J150620760+03075848,15 06 20.7597,+03 07 58.483,118.29832,Galaxy,112842.0,0.48566,1
5,SDSS J150623.58+031035.2,15 06 23.580,+03 10 35.28,147.1394,Galaxy,12499.0,0.0426,1
6,MLCG 1065,15 06 24.287,+03 10 21.61,150.35403,Compact_Gr_G,12413.0,0.0423,1
7,SDSS J150606.40+030804.3,15 06 06.4039,+03 08 04.400,151.09923,Galaxy,12468.0,0.04249,1
8,WiggleZ S15J150604251+03103236,15 06 04.2513,+03 10 32.358,177.46088,Galaxy,153374.0,0.75926,1
9,SDSSCGB 42310.3,15 06 19.024,+03 12 09.51,178.46417,Galaxy,,,1
10,SDSSCGB 42310,15 06 19.2,+03 12 23,192.07968,Compact_Gr_G,,,1
11,SDSSCGB 42310.1,15 06 18.331,+03 12 26.92,192.1142,Galaxy,,,1
12,SDSSCGB 42310.2,15 06 19.941,+03 12 22.59,195.5291,Galaxy,,,1
13,SDSSCGB 42310.4,15 06 19.389,+03 12 33.40,202.83983,Galaxy,,,1
14,WiggleZ S15J150625923+03112347,15 06 25.9229,+03 11 23.471,203.15952,Galaxy,162485.0,0.83487,1
15,2MASX J15062819+0310452,15 06 28.1880,+03 10 45.662,213.52203,LINER,12307.0,0.04193,1
16,2MASX J15062619+0306552,15 06 26.4465,+03 06 59.892,220.88858,Seyfert1,47417.0,0.17293,1
17,SDSS J150626.18+030654.9,15 06 26.1890,+03 06 54.975,221.1515,Galaxy,47387.0,0.17281,1
18,2XMMi J150628.5+031145,15 06 28.463,+03 11 43.63,245.76048,X,,,1
19,WiggleZ S15J150624325+03055038,15 06 24.3253,+03 05 50.381,251.89789,Galaxy,78870.0,0.3092,1
20,2XMMi J150604.1+031229,15 06 03.9918,+03 12 30.146,251.90004,X,,,1
21,LEDA 1245758,15 05 58.9825,+03 07 40.381,261.5289,Galaxy,12637.0,0.04308,1
22,WiggleZ S15J150608310+03051036,15 06 08.3097,+03 05 10.363,270.48553,Galaxy,171835.0,0.91985,1
23,WiggleZ S15J150600791+03125020,15 06 00.7908,+03 12 50.206,299.49023,Galaxy,135092.0,0.62495,1
24,WiggleZ S15J150555184+03081188,15 05 55.1843,+03 08 11.882,306.18796,Galaxy,126181.0,0.5664,1
25,[MTT2005] N5846-204,15 06 34.0,+03 07 10,311.9174,GtowardsGroup,,,1
26,LP  561-48,15 06 10.1107,+03 04 04.483,325.219,HighPM*,,,1
27,SDSS-C4 1118,15 05 53.1,+03 07 45,343.20364,ClG_Candidate,12436.0,0.04238,1
28,SDSS J150640.68+030829.7,15 06 40.6873,+03 08 29.816,386.63306,Galaxy,25102.0,0.08755,1
29,RX J1505.8+0308,15 05 48.698,+03 08 49.49,396.68454,Galaxy,12327.0,0.042,1
30,2MASX J15063433+0313582,15 06 34.3474,+03 13 58.827,400.3545,Galaxy,47636.0,0.17381,1
31,Gaia DR3 1153967415045086976,15 06 03.5345,+03 02 48.940,428.62445,WhiteDwarf_Candidate,,,1
32,WiggleZ S15J150546564+03115456,15 05 46.5637,+03 11 54.557,454.1358,Galaxy,134792.0,0.62291,1
33,LEDA 1248948,15 06 25.346,+03 16 50.50,474.97025,Galaxy,12594.0,0.04293,1
34,WiggleZ S15J150543875+03072977,15 05 43.8753,+03 07 29.773,480.7114,Galaxy,125642.0,0.56298,1
35,2XMMi J150542.8+030907,15 05 42.821,+03 09 08.12,483.6231,X,,,1
36,WiggleZ S15J150648137+03083273,15 06 48.1370,+03 08 32.730,497.15616,Galaxy,96279.0,0.39505,1
37,LEDA 1245747,15 06 49.6,+03 07 38,526.888,Galaxy,,,1
38,WiggleZ S15J150647765+03052276,15 06 47.7647,+03 05 22.762,544.1653,Galaxy,63214.0,0.23871,1
39,SDSS J150612.75+031833.6,15 06 12.7502,+03 18 33.685,553.8044,Galaxy,23090.0,0.08023,1
40,SDSS J150539.33+030634.3,15 05 39.333,+03 06 34.30,561.04474,Galaxy,12970.0,0.04424,1
41,HD 133841,15 06 27.8797,+03 00 32.636,561.9692,Star,-16.04,-5.4e-05,1
42,WiggleZ S15J150558300+03004936,15 05 58.2999,+03 00 49.363,570.1694,Galaxy,38035.0,0.13605,1
43,1RXS J150651.9+030645,15 06 51.902,+03 06 45.50,572.7184,X,,,1
44,NSVS  13415941,15 06 52.1940,+03 06 21.121,583.9742,RRLyrae,-121.58,-0.000405,1
45,WiggleZ S15J150652784+03122069,15 06 52.7841,+03 12 20.689,592.3043,Galaxy,139093.0,0.6526,1
46,LEDA 1242633,15 06 17.0678,+02 59 28.503,593.22943,Galaxy,12640.0,0.04309,1
