,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SDSS-C4-DR3 2069,01 07 22.08,+14 15 23.8,0.047343448,ClG,21480.0,0.07441,1
1,SDSS J010722.07+141523.7,01 07 22.0757,+14 15 23.791,0.06264316,Galaxy,20604.0,0.07126,1
2,2MASX J01072180+1416240,01 07 21.807,+14 16 24.03,60.360615,BrightestCG,22616.0,0.078512,1
3,SDSS J010721.68+141628.2,01 07 21.6734,+14 16 28.397,64.86744,GtowardsCl,21666.0,0.07508,1
4,DES J010724.61+141619.7,01 07 24.6132,+14 16 19.810,67.032715,GtowardsCl,,,1
5,1RXS J010717.9+141635,01 07 17.899,+14 16 35.00,93.61492,X,,,1
6,SDSS J010713.44+141455.1,01 07 13.4379,+14 14 55.263,128.8411,GtowardsCl,21466.0,0.07436,1
7,DES J010719.89+141749.0,01 07 19.8894,+14 17 49.126,148.77463,GtowardsCl,,,1
8,SDSS J010718.02+141743.2,01 07 18.0264,+14 17 43.315,151.44867,GtowardsCl,22068.0,0.07653,1
9,SDSS J010711.15+141405.5,01 07 11.154,+14 14 05.59,177.05847,Galaxy,22513.0,0.07814,1
10,LEDA 1451974,01 07 20.1775,+14 12 17.545,188.29704,GtowardsCl,20523.0,0.07097,1
11,Gaia DR3 2585057840990038784,01 07 31.8778,+14 13 15.236,191.88916,Galaxy,,,1
12,2MASS J01073020+1418008,01 07 30.2060,+14 18 00.827,196.49744,GtowardsCl,21849.0,0.07574,1
13,LEDA 1454694,01 07 14.6116,+14 18 15.752,203.35623,GtowardsCl,21710.0,0.07524,1
14,LEDA 1452006,01 07 30.4754,+14 12 21.907,219.05515,Seyfert2,22347.0,0.07754,1
15,DES J010714.80+141840.4,01 07 14.8020,+14 18 40.505,223.3509,GtowardsCl,,,1
16,SDSS J010724.79+141143.8,01 07 24.7849,+14 11 43.887,223.40234,GtowardsCl,21438.0,0.07426,1
17,SDSS J010734.06+141231.9,01 07 34.0556,+14 12 32.010,244.6014,QSO,259546.0,2.728,1
18,SDSS J010703.18+141430.9,01 07 03.1902,+14 14 30.916,279.6742,Galaxy,37855.0,0.13536,1
19,TYC  618-408-1,01 07 41.727,+14 15 35.23,285.8554,Star,,,1
20,2XMM J010741.7+141316,01 07 41.7999,+14 13 15.347,314.1719,X,,,1
21,DES J010702.03+141721.2,01 07 02.0330,+14 17 21.385,314.25082,GtowardsCl,,,1
22,LEDA 1455644,01 07 25.962,+14 20 34.57,315.85126,Galaxy,12129.0,0.04131,1
23,DES J010719.85+142040.0,01 07 19.8518,+14 20 40.093,317.94724,GtowardsCl,,,1
24,SDSS J010744.16+141456.4,01 07 44.169,+14 14 56.48,322.2976,Galaxy,17330.0,0.05958,1
25,2XMM J010715.8+141006,01 07 15.8357,+14 10 06.338,330.19098,X,,,1
26,LEDA 1453218,01 07 44.9748,+14 14 47.796,334.79474,GtowardsCl,,,1
27,CRTS CSS131028 J010735+141009,01 07 34.88,+14 10 09.0,365.70584,Supernova_Candidate,,,1
28,SDSS J010710.58+142105.1,01 07 10.5800,+14 21 05.188,380.11285,Galaxy,20802.0,0.07197,1
29,2XMM J010743.7+141139,01 07 43.728,+14 11 39.40,386.56308,X,,,1
30,SDSS J010741.97+141940.7,01 07 41.9660,+14 19 40.828,386.80548,GtowardsCl,21702.0,0.07521,1
31,SDSS J010712.50+140903.6,01 07 12.501,+14 09 03.61,404.90668,BrightestCG,90790.0,0.36704,1
32,SDSSCGB 32458.4,01 07 49.274,+14 13 52.69,405.7316,Galaxy,,,1
33,SDSSCGB 32458.3,01 07 49.395,+14 13 34.40,411.92615,Galaxy,,,1
34,SDSSCGB 32458,01 07 49.5,+14 13 39,412.20358,Compact_Gr_G,,,1
35,2XMM J010656.4+141824,01 06 56.443,+14 18 24.10,413.99417,X,,,1
36,SDSSCGB 32458.1,01 07 49.657,+14 13 39.63,414.2526,Galaxy,,,1
37,SDSS J010707.13+140925.9,01 07 07.131,+14 09 25.98,418.6787,BrightestCG,98981.0,0.40919,1
38,SDSSCGB 32458.2,01 07 49.806,+14 13 30.32,418.77823,Galaxy,,,1
39,2XMM J010712.0+140844,01 07 12.0268,+14 08 44.981,424.76703,Seyfert1,22117.0,0.07671,1
40,SDSS J010659.71+141031.3,01 06 59.7116,+14 10 31.403,437.35983,GtowardsCl,22397.0,0.07772,1
