,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SDSSCGA 1354,09 25 47.67,-01 43 34.1,0.0,Compact_Gr_G,80609.0,0.3174,1
1,eFEDS J092546.3-014347,09 25 46.4,-01 43 47,23.553905,ClG,60722.0,0.228,1
2,DES J092545.98-014314.6,09 25 45.9890,-01 43 14.662,31.827131,GtowardsCl,,,1
3,SDSS J092549.56-014318.5,09 25 49.566,-01 43 18.53,32.411827,Galaxy,,,1
4,SDSS J092545.45-014329.1,09 25 45.4566,-01 43 29.074,33.563004,BrightestCG,61978.0,0.23338,1
5,DES J092545.64-014318.2,09 25 45.6439,-01 43 18.299,34.241405,GtowardsCl,,,1
6,SDSS J092546.90-014408.0,09 25 46.9075,-01 44 07.965,35.743427,BrightestCG,77327.0,0.30199,1
7,LEDA 1111651,09 25 45.2804,-01 43 43.566,37.05686,BrightestCG,60042.0,0.2251,1
8,DES J092546.51-014407.1,09 25 46.5246,-01 44 07.062,37.167385,GtowardsCl,,,1
9,DES J092545.63-014358.6,09 25 45.6391,-01 43 58.641,39.107853,GtowardsCl,,,1
10,SDSS J092548.39-014415.6,09 25 48.393,-01 44 15.66,42.95044,Galaxy,,,1
11,SDSS J092544.75-014323.1,09 25 44.7568,-01 43 23.171,45.02344,BrightestCG,64514.0,0.24435,1
12,DES J092544.98-014309.5,09 25 44.9823,-01 43 09.567,47.17646,GtowardsCl,,,1
13,DES J092545.34-014254.5,09 25 45.3430,-01 42 54.540,52.746998,GtowardsCl,,,1
14,DES J092545.22-014254.9,09 25 45.2237,-01 42 54.984,53.6222,GtowardsCl,,,1
15,SDSS J092545.94-014422.3,09 25 45.948,-01 44 22.41,54.775387,QSO,168674.0,0.8902,1
16,DES J092550.68-014300.9,09 25 50.6871,-01 43 00.869,56.13029,GtowardsCl,,,1
