,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SHELS J0919.6+3032,09 19 35.0,+30 31 55,0.0,ClG,102378.0,0.4273,1
1,AGEL J091935+303156 system,09 19 35.0,+30 31 56,1.0,GravLensSystem,,,1
2,SDSS J091935.04+303156.3,09 19 35.042,+30 31 56.34,1.4475949,BrightestCG,102443.0,0.42765,1
3,[RRB2014] RM J091935.0+303156.3,09 19 35.0414,+30 31 56.346,1.4484587,ClG,102385.0,0.42734,1
4,SDSS J091934.31+303149.6,09 19 34.312,+30 31 49.60,10.400773,Galaxy,76730.0,0.29922,1
5,SDSS J091933.92+303200.6,09 19 33.925,+30 32 00.66,15.000374,Galaxy,77662.0,0.30355,1
6,SDSS J091933.39+303214.6,09 19 33.392,+30 32 14.60,28.56261,Galaxy,33920.0,0.12034,1
7,SDSS J091936.20+303122.9,09 19 36.204,+30 31 22.99,35.59064,Galaxy,105377.0,0.44362,1
8,SDSS J091932.15+303159.6,09 19 32.152,+30 31 59.66,37.095993,Galaxy,102407.0,0.42746,1
9,SDSS J091933.30+303226.2,09 19 33.306,+30 32 26.22,38.123383,Galaxy,102835.0,0.42977,1
10,SDSS J091931.65+303159.9,09 19 31.656,+30 31 59.99,43.492203,Galaxy,77874.0,0.30454,1
11,TYC 2493-79-1,09 19 31.4573,+30 32 21.447,52.86226,HighPM*,,,1
12,SDSS J091938.10+303118.7,09 19 38.101,+30 31 18.71,54.056053,Galaxy,101805.0,0.42422,1
13,SDSS J091938.63+303232.8,09 19 38.639,+30 32 32.84,60.344833,Galaxy,101341.0,0.42173,1
14,SDSS J091934.59+303051.0,09 19 34.595,+30 30 51.00,64.209274,Galaxy,,,1
15,SDSS J091940.22+303152.3,09 19 40.221,+30 31 52.38,67.51217,Galaxy,102406.0,0.42745,1
16,SDSS J091930.30+303238.8,09 19 30.307,+30 32 38.81,74.8009,Galaxy,,,1
17,SDSS J091930.77+303246.2,09 19 30.771,+30 32 46.25,74.9083,Galaxy,77799.0,0.30419,1
18,SDSS J091938.70+303255.7,09 19 38.702,+30 32 55.74,77.30758,Galaxy,130825.0,0.59641,1
19,SDSS J091928.68+303139.4,09 19 28.684,+30 31 39.44,83.07879,Galaxy,,,1
20,SDSS J091928.94+303122.1,09 19 28.947,+30 31 22.18,84.82079,Galaxy,101820.0,0.4243,1
21,SDSS J091934.25+303028.3,09 19 34.255,+30 30 28.32,87.21572,Galaxy,102815.0,0.42966,1
22,SDSS J091928.94+303112.9,09 19 28.941,+30 31 12.95,88.872,Galaxy,33952.0,0.12046,1
23,SDSS J091929.44+303057.6,09 19 29.4480,+30 30 57.674,91.82952,Star,111.6,0.000372,1
24,SDSS J091939.97+303302.9,09 19 39.976,+30 33 02.96,93.54517,Galaxy,102162.0,0.42614,1
25,SDSS J091936.22+303329.0,09 19 36.223,+30 33 29.01,95.326584,Galaxy,102991.0,0.43061,1
26,SDSS J091927.74+303127.6,09 19 27.744,+30 31 27.68,97.64566,Galaxy,,,1
27,SDSS J091935.16+303332.7,09 19 35.160,+30 33 32.73,97.74959,Galaxy,,,1
28,SDSS J091934.80+303336.3,09 19 34.802,+30 33 36.34,101.370544,Galaxy,,,1
29,SDSS J091932.00+303020.1,09 19 32.006,+30 30 20.19,102.396805,Galaxy,,,1
30,SDSS J091940.39+303317.7,09 19 40.392,+30 33 17.71,108.13342,Galaxy,77765.0,0.30403,1
31,SDSS J091943.08+303228.3,09 19 43.088,+30 32 28.34,109.68478,Galaxy,29713.0,0.10455,1
