,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SPT-CL J2328-5533,23 28 42.7,-55 33 58,0.39849955,ClG,155089.0,0.773,1
1,DES J232842.96-553400.5,23 28 42.962,-55 34 00.59,3.414773,GtowardsCl,159089.0,0.80592,1
2,DES J232843.64-553402.7,23 28 43.640,-55 34 02.74,9.275125,GtowardsCl,,,1
3,DES J232841.87-553407.1,23 28 41.875,-55 34 07.16,11.524198,GtowardsCl,,,1
4,DES J232844.28-553347.7,23 28 44.282,-55 33 47.79,16.866268,GtowardsCl,,,1
5,DES J232840.65-553401.5,23 28 40.656,-55 34 01.55,17.700912,GtowardsCl,,,1
6,DES J232842.12-553415.7,23 28 42.126,-55 34 15.79,18.443777,GtowardsCl,,,1
7,DES J232842.76-553335.9,23 28 42.761,-55 33 35.91,22.099619,GtowardsCl,,,1
8,DES J232841.38-553421.1,23 28 41.384,-55 34 21.18,25.72504,GtowardsCl,,,1
9,DES J232843.03-553425.7,23 28 43.038,-55 34 25.71,27.859846,GtowardsCl,,,1
10,DES J232841.58-553331.6,23 28 41.583,-55 33 31.68,27.972517,GtowardsCl,,,1
11,DES J232841.61-553424.4,23 28 41.611,-55 34 24.41,27.977722,GtowardsCl,,,1
12,DES J232846.31-553353.8,23 28 46.311,-55 33 53.89,30.90608,GtowardsCl,,,1
13,DES J232844.67-553424.3,23 28 44.675,-55 34 24.34,31.214497,GtowardsCl,,,1
14,DES J232838.72-553409.9,23 28 38.730,-55 34 09.93,35.72431,GtowardsCl,,,1
15,DES J232841.53-553433.2,23 28 41.530,-55 34 33.26,36.63035,GtowardsCl,,,1
16,XXL-AAOmega J232841.57-553317.0,23 28 41.5,-55 33 17,42.28199,Galaxy,140250.0,0.66077,1
17,DES J232843.40-553316.1,23 28 43.409,-55 33 16.13,42.29853,GtowardsCl,,,1
18,DES J232847.46-553343.7,23 28 47.469,-55 33 43.79,42.873306,GtowardsCl,,,1
19,DES J232844.22-553312.6,23 28 44.228,-55 33 12.67,47.14479,GtowardsCl,,,1
20,DES J232848.28-553344.0,23 28 48.289,-55 33 44.07,49.407825,GtowardsCl,,,1
21,DES J232847.47-553326.8,23 28 47.473,-55 33 26.90,51.056347,GtowardsCl,,,1
22,DES J232845.51-553310.7,23 28 45.517,-55 33 10.75,52.94735,GtowardsCl,,,1
23,DES J232846.90-553318.1,23 28 46.903,-55 33 18.11,53.500256,GtowardsCl,,,1
24,DES J232842.43-553302.5,23 28 42.431,-55 33 02.58,55.469265,GtowardsCl,,,1
25,DES J232848.64-553422.6,23 28 48.642,-55 34 22.67,56.108974,GtowardsCl,,,1
26,DES J232844.58-553255.9,23 28 44.587,-55 32 55.99,64.0474,GtowardsCl,,,1
27,XXL-AAOmega J232845.95-553459.5,23 28 45.8,-55 35 00,67.03517,Star,,,1
28,DES J232834.44-553345.1,23 28 34.443,-55 33 45.15,71.2101,GtowardsCl,,,1
29,DES J232835.16-553323.8,23 28 35.166,-55 33 23.83,72.47178,GtowardsCl,,,1
30,DES J232838.19-553254.2,23 28 38.193,-55 32 54.22,74.36411,GtowardsCl,,,1
31,DES J232841.26-553511.7,23 28 41.264,-55 35 11.73,74.73004,GtowardsCl,,,1
32,DES J232851.48-553340.8,23 28 51.487,-55 33 40.86,76.47737,GtowardsCl,,,1
33,DES J232847.38-553248.0,23 28 47.383,-55 32 48.10,80.404335,GtowardsCl,,,1
34,DES J232847.77-553249.0,23 28 47.778,-55 32 49.10,81.25859,GtowardsCl,,,1
35,DES J232852.60-553359.3,23 28 52.605,-55 33 59.31,84.02331,GtowardsCl,,,1
36,DES J232834.46-553448.9,23 28 34.467,-55 34 48.99,86.45477,GtowardsCl,,,1
37,DES J232832.65-553416.6,23 28 32.654,-55 34 16.64,87.21392,GtowardsCl,,,1
38,DES J232841.59-553230.5,23 28 41.599,-55 32 30.57,87.92766,GtowardsCl,,,1
39,XXL-AAOmega J232832.40-553411.1,23 28 32.4,-55 34 11,88.36231,Galaxy,140146.0,0.66003,1
40,XXL-AAOmega J232840.68-553527.6,23 28 40.6,-55 35 28,91.41889,Star,,,1
41,XXL-AAOmega J232852.37-553313.3,23 28 52.3703,-55 33 13.297,93.42414,Star,,,1
42,DES J232840.97-553533.5,23 28 40.972,-55 35 33.50,96.6183,GtowardsCl,,,1
43,DES J232848.38-553233.8,23 28 48.385,-55 32 33.86,96.98306,GtowardsCl,,,1
44,XXL-AAOmega J232839.02-553530.0,23 28 39.0316,-55 35 30.034,97.14804,Star,,,1
45,XXL-ATCA J232840.9-553538,23 28 40.9070,-55 35 38.107,101.25477,Radio,,,1
46,XXL-AAOmega J232843.95-553207.3,23 28 43.9619,-55 32 07.292,111.2244,Star,,,1
