,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SWXCS J092729+3010.8,09 27 29.76,+30 10 48.0,0.047586422,ClG,86016.0,0.3434,1
1,FIRST J092729.9+301045,09 27 30.00,+30 10 45.4,4.0552125,Radio,,,1
2,NVSS J092730+301046,09 27 30.002,+30 10 45.42,4.062417,Radio,,,1
3,SDSS J092730.01+301045.4,09 27 30.018,+30 10 45.45,4.2079306,BrightestCG,93996.0,0.38329,1
4,DES J092730.26+301048.5,09 27 30.2629,+30 10 48.563,6.5455275,GtowardsCl,,,1
5,DES J092730.65+301057.8,09 27 30.6575,+30 10 57.824,15.229246,GtowardsCl,,,1
6,DES J092730.76+301039.9,09 27 30.7668,+30 10 39.914,15.3570795,GtowardsCl,,,1
7,DES J092728.51+301048.7,09 27 28.5172,+30 10 48.772,16.133453,GtowardsCl,,,1
8,DES J092728.81+301059.5,09 27 28.8178,+30 10 59.535,16.802433,GtowardsCl,,,1
9,DES J092732.04+301051.7,09 27 32.0444,+30 10 51.711,29.852892,GtowardsCl,,,1
10,DES J092731.13+301112.8,09 27 31.1355,+30 11 12.841,30.581142,GtowardsCl,,,1
11,DES J092730.18+301125.3,09 27 30.1851,+30 11 25.388,37.7922,GtowardsCl,,,1
12,SDSS J092727.40+301117.9,09 27 27.4101,+30 11 18.024,42.776653,Galaxy,87273.0,0.34956,1
13,DES J092726.50+301033.3,09 27 26.5048,+30 10 33.400,44.664455,GtowardsCl,,,1
14,DES J092730.72+301134.3,09 27 30.7229,+30 11 34.377,48.028297,GtowardsCl,,,1
15,SDSS J092733.03+301120.6,09 27 33.033,+30 11 20.60,53.509228,BrightestCG,85034.0,0.33862,1
16,DES J092734.54+301105.1,09 27 34.5469,+30 11 05.187,64.40444,GtowardsCl,,,1
17,DES J092730.08+301155.7,09 27 30.0833,+30 11 55.733,67.86286,GtowardsCl,,,1
18,DES J092732.15+301212.4,09 27 32.1557,+30 12 12.469,89.99854,GtowardsCl,,,1
19,DES J092729.76+300916.9,09 27 29.7601,+30 09 16.903,91.09728,GtowardsCl,,,1
20,DES J092725.19+301206.4,09 27 25.1926,+30 12 06.487,98.320786,GtowardsCl,,,1
21,DES J092730.37+300906.0,09 27 30.3768,+30 09 06.025,102.28795,GtowardsCl,,,1
22,DES J092722.39+301004.9,09 27 22.3967,+30 10 04.929,104.748405,GtowardsCl,,,1
23,SDSS J092722.69+301140.5,09 27 22.6957,+30 11 40.561,105.60431,QSO,256553.0,2.587,1
24,DES J092737.47+301125.3,09 27 37.4753,+30 11 25.306,106.76738,GtowardsCl,,,1
25,DES J092735.39+300929.5,09 27 35.3967,+30 09 29.546,107.23084,GtowardsCl,,,1
26,DES J092731.02+301239.3,09 27 31.0233,+30 12 39.303,112.50188,GtowardsCl,,,1
27,DES J092728.63+301252.2,09 27 28.6369,+30 12 52.284,125.13393,GtowardsCl,,,1
28,DES J092717.27+301230.4,09 27 17.2774,+30 12 30.483,191.55557,GtowardsCl,,,1
29,SWXCS J092719+3013.7,09 27 19.49,+30 13 42.4,219.45996,ClG,83458.0,0.331,1
30,[AM2011] 33,09 27 19.82,+30 13 55.1,227.17798,ClG,76898.0,0.3,1
31,SDSS J092719.81+301355.0,09 27 19.818,+30 13 55.09,227.18857,BrightestCG,77608.0,0.3033,1
32,[SPD2011] 3923,09 27 21.0,+30 14 19,239.26367,ClG,90164.0,0.3639,1
33,SDSS J092747.71+301208.3,09 27 47.7209,+30 12 08.453,246.3746,BlueStraggler,-63.2,-0.000211,1
34,SDSS J092722.39+301450.4,09 27 22.399,+30 14 50.40,260.49777,BrightestCG,84359.0,0.33535,1
35,FIRST J092748.8+301224,09 27 48.88,+30 12 24.1,265.86658,Radio,,,1
