,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,SpARCS J163437+402149,16 34 35.0,+40 21 51,0.0,ClG,195545.0,1.1798,1
1,SpARCS J1634.5+4021 m1    6,16 34 35.2,+40 21 51,2.2858305,GtowardsCl,194446.0,1.166,1
2,SpARCS J1634.5+4021 m3   38,16 34 35.4,+40 21 41,10.995497,GtowardsCl,195402.0,1.178,1
3,SpARCS J1634.5+4021 m1   37,16 34 35.9,+40 22 01,14.345812,GtowardsCl,195560.0,1.18,1
4,SpARCS J1634.5+4021 m1    5,16 34 35.9,+40 21 41,14.346116,GtowardsCl,195639.0,1.181,1
5,SpARCS J1634.5+4021 m1   41,16 34 35.0,+40 22 06,15.0,GtowardsCl,195954.0,1.185,1
6,SpARCS J1634.5+4021 m1   34,16 34 36.6,+40 21 53,18.395613,GtowardsCl,195718.0,1.182,1
7,SpARCS J1634.5+4021 m1   25,16 34 36.2,+40 21 31,24.251108,GtowardsCl,195560.0,1.18,1
8,[MGS2020] J163436.42+402131.6,16 34 36.42,+40 21 31.6,25.293762,Radio,,,1
9,NVSS J163436+402126,16 34 36.21,+40 21 29.6,25.479908,Radio,,,1
10,NVSS J163434+402221,16 34 34.64,+40 22 20.6,29.884562,Radio,,,1
11,SpARCS J1634.5+4021 m1   45,16 34 34.6,+40 22 27,36.289074,GtowardsCl,196111.0,1.187,1
12,SpARCS J1634.5+4021 m1   28,16 34 38.5,+40 21 41,41.23383,GtowardsCl,195718.0,1.182,1
13,SpARCS J1634.5+4021 m1 3027,16 34 37.1,+40 21 17,41.618977,GtowardsCl,195639.0,1.181,1
14,SpARCS J1634.5+4021 m1   26,16 34 38.4,+40 21 32,43.256783,Galaxy,180258.0,1.004,1
15,SpARCS J1634.5+4021 m1   21,16 34 36.3,+40 21 09,44.55104,GtowardsCl,195085.0,1.174,1
16,ELAISC15 J163438+402212,16 34 38.53,+40 22 13.4,46.14457,Infrared,6904.0,0.0233,1
17,SpARCS J1634.5+4021 m1   22,16 34 38.5,+40 21 17,52.501305,GtowardsCl,195402.0,1.178,1
18,SpARCS J1634.5+4021 m2   27,16 34 37.2,+40 21 04,53.304314,GtowardsCl,194286.0,1.164,1
19,SpARCS J1634.5+4021 m1    3,16 34 38.1,+40 21 11,53.43705,GtowardsCl,195481.0,1.179,1
20,SpARCS J1634.5+4021 m3    2,16 34 38.0,+40 20 58,63.125957,GtowardsCl,195164.0,1.175,1
21,SpARCS J1634.5+4021 m2   36,16 34 28.1,+40 21 59,79.264595,GtowardsCl,195876.0,1.184,1
22,SpARCS J1634.5+4021 m3   67,16 34 32.0,+40 23 16,91.6527,Galaxy,159693.0,0.811,1
23,SpARCS J1634.5+4021 m1    4,16 34 27.1,+40 21 22,94.838356,Galaxy,189649.0,1.108,1
24,SpARCS J1634.5+4021 m3   69,16 34 40.1,+40 23 29,114.01841,GtowardsCl,195402.0,1.178,1
25,SpARCS J1634.5+4021 m1   31,16 34 25.0,+40 21 44,114.50733,Galaxy,189393.0,1.105,1
26,SpARCS J1634.5+4021 m2   57,16 34 40.8,+40 23 30,119.13627,GtowardsCl,195244.0,1.176,1
