,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,UGCl 393,16 17 53.8,+35 06 31,0.0,GroupG,9018.462,0.030549,1
1,[RPG97] 385,16 17.9,+35 07,29.103651,GroupG,9328.0,0.031615,1
2,CAN  64,16 18 00.0,+35 06 00,82.15693,ClG,,,1
3,NGC  6112,16 18 00.5635,+35 06 36.979,83.20952,GtowardsGroup,9248.0,0.03134,1
4,1RXS J161801.9+350616,16 18 01.90,+35 06 16.5,100.4492,X,,,1
5,[TKK2018] 5841,16 17 49.41,+35 05 04.2,102.107834,GroupG,8952.0,0.03032,1
6,2MASS J16174485+3507185,16 17 44.8492,+35 07 18.702,119.73732,Low-Mass*,12.834,4.3e-05,1
7,TYC 2586-711-1,16 18 04.7756,+35 07 17.697,142.5376,Star,-43.5,-0.000145,1
8,NGC  6110,16 17 43.9694,+35 05 13.246,143.5303,GtowardsCl,9013.0,0.03053,1
9,SDSS J161803.93+350808.6,16 18 03.941,+35 08 08.68,158.18175,Galaxy,9727.0,0.03299,1
10,2E 1615.9+3516,16 17 46.6,+35 08 48,163.00682,X,,,1
11,LEDA 2060285,16 17 51.185,+35 09 23.67,175.62459,GtowardsCl,9054.0,0.03067,1
12,SDSS J161759.45+350921.6,16 17 59.466,+35 09 21.66,184.27168,Galaxy,9176.0,0.03109,1
13,SDSS J161806.49+350814.0,16 18 06.490,+35 08 14.00,186.68039,QSO,240857.0,2.028794,1
14,LEDA 2058582,16 17 52.4874,+35 02 54.044,217.55319,Galaxy,8676.0,0.02937,1
15,SDSS J161736.05+350628.6,16 17 36.051,+35 06 28.67,217.80896,QSO,227948.0,1.710276,1
16,SDSS J161740.72+350401.9,16 17 40.721,+35 04 01.96,219.04906,QSO,256319.0,2.57659,1
17,SDSS J161757.98+351007.0,16 17 57.986,+35 10 07.05,222.06552,QSO,228564.0,1.723565,1
18,SDSS J161738.63+350416.7,16 17 38.6334,+35 04 16.773,229.49713,QSO,233935.0,1.846807,1
19,[FFP95] 1615+35 C,16 17 36.5,+35 04 49,235.55385,blue,,,1
20,SDSS J161807.14+350340.7,16 18 07.1460,+35 03 40.712,236.29134,Seyfert1,41347.0,0.1489,1
21,LEDA   57737,16 17 35.5857,+35 08 02.882,241.62326,AGN,9515.0,0.03226,1
22,SDSS J161735.96+350447.6,16 17 35.9594,+35 04 47.653,242.12349,QSO,162835.0,0.837904,1
23,FIRST J161742.9+350305,16 17 42.99,+35 03 05.7,244.4507,Radio,,,1
24,LEDA   57742,16 17 38.7608,+35 03 36.169,254.24873,GtowardsCl,9687.0,0.03285,1
25,FIRST J161758.8+350209,16 17 58.9,+35 02 09,269.377,Radio,,,1
26,LEDA 2058482,16 17 43.0891,+35 02 28.049,276.2488,Galaxy,8754.0,0.02964,1
27,LEDA 2059143,16 17 32.350,+35 05 02.17,277.83487,Galaxy,8839.0,0.02993,1
28,SDSS J161816.56+350631.6,16 18 16.565,+35 06 31.61,279.34607,QSO,259791.0,2.74021,1
29,SDSS J161735.47+350344.8,16 17 35.4727,+35 03 45.063,279.53546,Galaxy,9225.0,0.03126,1
30,ZwCl 1615+3505,16 17 35.47,+35 03 44.9,279.6451,ClG,9367.0,0.031750145,1
31,LEDA 2060647,16 17 44.8202,+35 10 48.226,279.81512,GtowardsGroup,9541.0,0.03235,1
32,NSC J161815+350810,16 18 15.12,+35 08 10.4,279.82214,ClG,,,1
33,SDSS J161748.24+350156.5,16 17 48.2430,+35 01 56.546,282.8051,Galaxy,8350.0,0.02825,1
34,SDSSCGB 73027.4,16 17 56.924,+35 01 49.14,284.45737,Galaxy,,,1
35,[TSK2008] 2645,16 17 31.0,+35 07 48,289.5405,GroupG,9024.0,0.030568,1
36,1RXS J161730.4+350529,16 17 30.403,+35 05 29.00,293.75122,X,,,1
37,SDSSCGB 73027.1,16 17 57.277,+35 01 35.65,298.4189,Galaxy,,,1
38,SDSSCGB 73027,16 17 58.0,+35 01 29,306.3705,Compact_Gr_G,,,1
39,SDSS J161817.71+350812.1,16 18 17.7148,+35 08 12.096,310.33618,Galaxy,8929.0,0.03024,1
40,SDSSCGB 73027.2,16 17 58.857,+35 01 19.83,317.3036,Galaxy,,,1
41,SDSS J161818.36+350448.4,16 18 18.363,+35 04 48.40,318.4455,QSO,204540.0,1.301026,1
42,SDSSCGB 73027.3,16 17 59.095,+35 01 13.35,324.23416,Galaxy,,,1
43,2MASS J16180974+3502089,16 18 09.7463,+35 02 08.823,327.2002,QSO,105810.0,0.446,1
44,FIRST J161809.7+350208,16 18 09.72,+35 02 08.5,327.2665,Radio,,,1
45,NVSS J161809+350209,16 18 09.5,+35 02 06,327.9999,Radio,,,1
46,6C 161541+351025,16 17 32.7,+35 03 08,329.07962,Radio,,,1
47,RGH 118,16 18.0,+35 01,339.6405,GroupG,,,1
48,[FFP95] 1615+35 D,16 17 25.6,+35 07 24,350.0451,blue,,,1
49,FIRST J161733.2+350227,16 17 33.28,+35 02 27.7,350.2151,Radio,,,1
50,FIRST J161733.5+350222,16 17 33.6,+35 02 21,352.127,Radio,,,1
51,SDSS J161725.32+350719.0,16 17 25.3179,+35 07 19.102,352.76782,QSO,168777.0,0.89115,1
52,FIRST J161738.4+350131,16 17 38.40,+35 01 31.4,354.27002,Radio,,,1
53,SDSS J161819.50+350916.1,16 18 19.5126,+35 09 16.105,356.02786,Galaxy,38665.0,0.13848,1
54,NGC  6108,16 17 25.6346,+35 08 08.715,359.10757,LINER,9155.0,0.03102,1
55,LEDA 2060532,16 18 16.4952,+35 10 20.693,360.9098,GtowardsCl,9652.0,0.03273,1
56,1RXS J161725.4+350432,16 17 25.397,+35 04 32.52,368.186,X,,,1
57,FIRST J161731.8+350217,16 17 31.88,+35 02 17.7,369.558,Radio,,,1
58,Gaia DR3 1329094156781858048,16 18 23.3031,+35 05 11.471,370.7121,Galaxy,,,1
59,2MASS J16172495+3504264,16 17 24.9469,+35 04 26.422,375.40317,Low-Mass*,-30.484,-0.000102,1
60,ZwCl 1615+3508,16 17.6,+35 01,396.64008,ClG,9469.0,0.0321,1
61,SDSS J161748.89+351310.4,16 17 48.895,+35 13 10.42,403.91995,QSO,243969.0,2.121,1
62,SDSS J161743.01+350005.3,16 17 43.0135,+35 00 05.355,407.75488,QSO,206664.0,1.332,1
63,NGC  6109,16 17 40.539,+35 00 15.17,409.5851,LINER,8804.0,0.02981,1
64,FIRST J161751.9+345940,16 17 51.98,+34 59 40.6,411.00806,Radio,,,1
65,SN 2003ia,16 17 41.17,+35 00 07.2,413.9484,Supernova,,,1
66,SN 2010an,16 17 40.6,+35 00 10,414.1617,Supernova,8713.0,0.0295,1
67,4C 35.40A,16 17 20.5,+35 09 00,434.84317,Radio,,,1
68,NGC  6114,16 18 23.630,+35 10 27.51,435.6753,GtowardsGroup,8673.0,0.02936,1
69,SDSS J161828.77+350814.3,16 18 28.774,+35 08 14.39,441.36646,BrightestCG,77818.0,0.30428,1
70,TYC 2586-611-1,16 17 17.5813,+35 06 18.985,444.60825,SB*,10.42,3.5e-05,1
71,SDSS J161803.27+351342.6,16 18 03.2746,+35 13 42.715,447.07388,Galaxy,20609.0,0.07128,1
72,SDSS J161755.61+351358.3,16 17 55.620,+35 13 58.37,447.92395,QSO,228055.0,1.712561,1
73,SHEEP J1618.1+3459,16 18 10.7,+34 59 46,455.07184,X,,,1
74,2MASS J16173922+3459288,16 17 39.1976,+34 59 28.583,458.9001,Low-Mass*,41.0,0.000137,1
75,TYC 2586-677-1,16 17 37.4600,+35 13 31.573,465.86215,HighPM*,-5.53,-1.8e-05,1
