,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,USGC U217,09 16 15.87,+17 38 35.4,0.029499773,GroupG,8543.091,0.028915,1
1,WBB N45-376,09 16.2,+17 39,60.541626,GroupG,,,1
2,SDSS J091612.83+173724.4,09 16 12.8359,+17 37 24.412,83.18893,Galaxy,9121.0,0.0309,1
3,MCG+03-24-022,09 16 10.305,+17 39 35.04,99.419914,GtowardsGroup,9394.0,0.03184,1
4,SDSS J091611.37+173601.1,09 16 11.3831,+17 36 01.091,167.1093,Galaxy,8583.0,0.02905,1
5,NGC  2795,09 16 03.9244,+17 37 42.074,178.89474,RadioG,8457.0,0.02862,1
6,1RXS J091603.3+173739,09 16 03.3,+17 37 39,188.33232,X,,,1
7,2MASX J09160422+1737000,09 16 04.2329,+17 37 00.006,191.76709,GtowardsGroup,8274.0,0.02799,1
8,UCAC4 539-047658,09 16 22.8906,+17 41 23.853,196.0743,Star,-13.81,-4.6e-05,1
9,RASSCALS NRGs027,09 16 06.9,+17 36 06,196.88779,ClG,8557.0,0.028963,1
10,2MASS J09160676+1736064,09 16 06.7653,+17 36 06.547,197.73463,Star,,,1
11,2MASS J09160615+1735453,09 16 06.1756,+17 35 45.064,219.59592,Low-Mass*,-7.752,-2.6e-05,1
12,2MASX J09162345+1735140,09 16 23.4300,+17 35 14.167,228.42128,Galaxy,35476.0,0.12625,1
13,SDSS J091559.72+173743.4,09 15 59.726,+17 37 43.49,236.54478,Galaxy,8157.0,0.02759,1
14,2MASS J09160436+1735349,09 16 04.3765,+17 35 35.018,244.00183,Star,,,1
15,2MASS J09160394+1735213,09 16 03.9560,+17 35 21.169,258.33527,Star,,,1
16,TYC 1405-1348-1,09 16 10.2500,+17 42 44.007,261.26,Star,33.34,0.000111,1
17,NGC  2794,09 16 01.7918,+17 35 23.329,278.20853,LINER,8690.0,0.02942,1
18,2MASX J09155626+1738334,09 15 56.3030,+17 38 33.137,279.7086,GtowardsGroup,9187.0,0.03113,1
19,AT 2021aasl,09 16 21.0,+17 43 40,313.29855,Supernova_Candidate,7693.0,0.026,1
20,NGC  2797,09 16 21.6827,+17 43 38.005,313.80008,GtowardsGroup,7682.0,0.02596,1
21,SN 2010Z,09 16 21.30,+17 43 40.6,314.91092,Supernova,7693.0,0.026,1
22,IRAS F09131+1751,09 15 53.9,+17 39 18,317.0984,Infrared,,,1
23,IRAS 09135+1756,09 16 21.5,+17 43 43,317.68878,FarIR,,,1
24,SDSS J091622.37+174341.7,09 16 22.372,+17 43 41.76,320.14163,Galaxy,7600.0,0.02568,1
25,LAMOST J091622.06+174345.5,09 16 22.061,+17 43 45.50,322.4711,Galaxy,7588.0,0.025639,1
26,Gaia DR3 632158992005318784,09 16 38.3686,+17 39 13.194,323.80917,Star,-8.537,-2.8e-05,1
27,LEDA 1535649,09 16 06.9971,+17 33 29.632,331.04092,Galaxy,8518.0,0.02883,1
28,NSC J091639+173851,09 16 39.50,+17 38 51.4,338.15216,ClG,16856.0,0.0579,1
29,2MASS J09155740+1734461,09 15 57.4073,+17 34 46.359,349.4772,AGN,8996.0,0.03047,1
30,MCG+03-24-021,09 16 07.4880,+17 44 03.722,349.49164,GtowardsGroup,8326.0,0.02817,1
31,LEDA 1536210,09 16 35.286,+17 34 48.24,358.68863,Galaxy,9057.0,0.03068,1
32,[AWK2020] 1378,09 16 35.29,+17 34 48.3,358.72086,ClG,8453.0,0.028605795,1
33,SDSS J091551.38+173711.5,09 15 51.3835,+17 37 11.457,359.9666,Galaxy,8676.0,0.02937,1
34,SDSS J091601.07+173337.2,09 16 01.072,+17 33 37.24,365.60153,Galaxy,8757.0,0.02965,1
35,TYC 1405-543-1,09 16 09.2802,+17 44 42.118,378.6165,Star,12.77,4.3e-05,1
36,RXGCC 325,09 15 57.8,+17 33 43,389.65988,ClG,8568.0,0.029,1
37,SDSS J091632.24+173323.0,09 16 32.2617,+17 33 23.266,390.32687,Low-Mass*,78.54,0.000262,1
38,LEDA 1535253,09 16 02.9932,+17 32 28.655,410.36633,Galaxy,8763.0,0.02967,1
39,LEDA 1534978,09 16 07.397,+17 31 49.70,423.40396,Galaxy,8052.0,0.02723,1
40,2MASX J09161045+1731190,09 16 10.4171,+17 31 18.598,443.70633,GtowardsGroup,8539.0,0.0289,1
41,LEDA 1538692,09 16 45.9,+17 40 39,446.6628,Galaxy,,,1
42,LEDA 1538214,09 16 46.9,+17 39 30,446.88577,Galaxy,,,1
43,SDSS J091647.79+173757.5,09 16 47.813,+17 37 58.04,458.1462,Galaxy,7965.0,0.02693,1
44,SDSS J091648.15+173750.6,09 16 48.150,+17 37 50.61,463.6091,Galaxy,7909.0,0.02674,1
45,LEDA 1535244,09 16 38.8802,+17 32 27.265,493.7329,Galaxy,9240.0,0.03131,1
46,[ZS2020] cCGs-5295,09 16 51.7,+17 37 41,514.9982,Compact_Gr_G,8116.0,0.02745,1
47,1RXS J091650.5+173605,09 16 50.496,+17 36 05.51,517.212,X,,,1
48,DES J091634.57+173048.9,09 16 34.5773,+17 30 48.975,537.69147,GtowardsCl,,,1
49,LEDA 1541835,09 16 20.2166,+17 47 35.512,543.6714,GtowardsGroup,8504.0,0.02878,1
50,2MASX J09154129+1742394,09 15 41.3051,+17 42 38.934,550.7605,GtowardsGroup,9045.0,0.03064,1
51,TYC 1405-491-1,09 16 55.2407,+17 38 01.771,563.80084,Star,-7.97,-2.7e-05,1
52,TYC 1405-865-1,09 16 55.3823,+17 38 23.260,564.9431,Star,,,1
53,DES J091634.80+173018.6,09 16 34.8081,+17 30 18.677,565.75055,GtowardsCl,,,1
54,MCG+03-24-039,09 16 55.6162,+17 37 24.221,572.6226,GtowardsGroup,8478.0,0.02869,1
55,SDSSCGB 43900.3,09 15 50.711,+17 46 05.67,576.1853,Galaxy,,,1
56,SDSSCGB 43900.1,09 15 51.780,+17 46 20.86,578.9186,Galaxy,,,1
57,SDSSCGB 43900.4,09 15 51.3864,+17 46 21.003,582.39514,Galaxy,,,1
58,SDSSCGB 43900,09 15 51.3,+17 46 21,583.1347,Compact_Gr_G,,,1
59,DES J091637.63+173015.0,09 16 37.6351,+17 30 15.001,589.29565,GtowardsCl,,,1
60,DES J091635.92+172959.4,09 16 35.9260,+17 29 59.448,590.3071,GtowardsCl,,,1
61,SDSSCGB 43900.2,09 15 51.353,+17 46 37.61,596.0326,Galaxy,,,1
62,LEDA 1533709,09 16 22.827,+17 28 35.13,608.45935,Galaxy,8967.0,0.03037,1
63,TYC 1402-755-1,09 16 15.5528,+17 28 24.996,610.42065,Star,4.6619,1.6e-05,1
64,DES J091644.05+173049.4,09 16 44.0538,+17 30 49.414,616.0881,GtowardsCl,,,1
65,DES J091639.21+172953.2,09 16 39.2116,+17 29 53.278,619.6985,GtowardsCl,,,1
66,DES J091643.07+173029.4,09 16 43.0713,+17 30 29.476,622.43225,GtowardsCl,,,1
67,DES J091640.24+172955.3,09 16 40.2401,+17 29 55.390,625.98755,GtowardsCl,,,1
68,DES J091638.03+172930.2,09 16 38.0324,+17 29 30.252,630.58075,GtowardsCl,,,1
69,DES J091636.93+172921.0,09 16 36.9384,+17 29 21.068,630.9198,GtowardsCl,107292.0,0.45421,1
70,DES J091639.12+172929.1,09 16 39.1232,+17 29 29.157,639.4987,GtowardsCl,,,1
71,TYC 1405-1066-1,09 16 53.8003,+17 44 16.866,640.638,Star,-31.4,-0.000105,1
72,DES J091646.44+173042.5,09 16 46.4405,+17 30 42.520,643.9815,GtowardsCl,119657.0,0.52595,1
73,DES J091647.97+173100.9,09 16 47.9797,+17 31 00.981,645.9995,GtowardsCl,,,1
