,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,WARPS J1331.5+1108,13 31 30.2,+11 08 04,0.0,GroupG,23303.0,0.081,1
1,LEDA 1389251,13 31 29.6585,+11 07 57.129,10.521875,Seyfert2,23118.0,0.08033,1
2,2XMMi J133129.7+110758,13 31 29.6,+11 07 57,10.813376,ClG,24156.0,0.0841,1
3,LEDA 1389154,13 31 31.490,+11 07 31.08,38.002007,Galaxy,25750.0,0.08992,1
4,[PMD2011] J133134.60+110802.0,13 31 34.60,+11 08 02.0,64.788605,Galaxy,23661.0,0.0823,1
5,[PMD2011] J133124.00+110820.0,13 31 23.9814,+11 08 20.347,92.97008,Galaxy,22759.0,0.07903,1
6,SDSS J133124.89+110709.0,13 31 24.896,+11 07 09.01,95.49279,BrightestCG,99188.0,0.41028,1
7,[PMD2011] J133122.50+110715.0,13 31 22.50,+11 07 15.0,123.46806,Galaxy,23385.0,0.0813,1
8,[AWK2020] 1757,13 31 23.01,+11 06 29.8,141.6565,ClG,23188.0,0.0805824,1
9,[PMD2011] J133133.40+110546.0,13 31 33.40,+11 05 46.0,145.81622,Galaxy,23137.0,0.0804,1
10,[PMD2011] J133126.00+110532.0,13 31 26.038,+11 05 32.04,163.8417,Galaxy,23512.0,0.08176,1
11,Gaia DR3 3738233882538739968,13 31 25.2490,+11 05 31.753,168.78764,Galaxy,,,1
12,LEDA 1388969,13 31 41.498,+11 06 44.65,184.24864,Galaxy,22726.0,0.07891,1
13,2MASS J13313318+1111029,13 31 33.1925,+11 11 03.046,184.38333,Star,,,1
14,[TKK2018] 4810,13 31 21.30,+11 05 40.6,194.22565,PairG,6584.0,0.02221,1
15,2MASX J13311426+1108226,13 31 14.260,+11 08 22.66,235.33386,Galaxy,22988.0,0.07986,1
16,BD+11  2580,13 31 43.3551,+11 11 32.353,284.4117,Star,-64.2,-0.000214,1
