,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,XCLASS 1879,10 00 13.925,+02 22 48.00,0.0,GroupG,86751.0,0.347,1
1,[FKC2008] COSMOS 0013+2249 source,10 00 13.9,+02 22 49,1.067887,LensedG,,,1
2,[FKC2008] COSMOS 0013+2249,10 00 13.9,+02 22 49,1.067887,GravLensSystem,86547.0,0.346,1
3,SDSS J100013.92+022249.5,10 00 13.929,+02 22 49.58,1.5811368,AGN,86833.0,0.3474,1
4,ZFOURGE COSMOS 19850,10 00 13.9636,+02 22 43.051,4.9830303,Galaxy,279882.0,4.3957,1
5,[NHM2017] 16958,10 00 13.925,+02 22 53.17,5.169601,Galaxy,49419.0,0.181,1
6,zCOSMOS 701427,10 00 13.92,+02 22 53.2,5.1841464,Galaxy,77587.0,0.3032,1
7,COSMOS 2018398,10 00 13.78,+02 22 43.0,5.451832,Galaxy,131672.0,0.602,1
8,COSMOS 2018397,10 00 14.19,+02 22 44.2,5.4966707,Galaxy,58296.0,0.2177,1
9,ZFOURGE COSMOS 19813,10 00 14.3372,+02 22 45.263,6.75657,Galaxy,113160.0,0.4875,1
10,ZFOURGE COSMOS 19856,10 00 13.4400,+02 22 46.883,7.3547735,Galaxy,280073.0,4.4227,1
11,ZFOURGE COSMOS 19776,10 00 13.4509,+02 22 50.304,7.469294,Galaxy,136416.0,0.634,1
12,ZFOURGE COSMOS 19818,10 00 13.8245,+02 22 55.406,7.557663,Galaxy,274794.0,3.7943,1
13,ZFOURGE COSMOS 19609,10 00 13.4473,+02 22 45.529,7.5740438,Galaxy,279292.0,4.3148,1
14,[NHM2017] 34653,10 00 13.764,+02 22 55.39,7.772478,Galaxy,93352.0,0.38,1
15,ZFOURGE COSMOS 19774,10 00 13.3997,+02 22 47.663,7.88057,Galaxy,279039.0,4.2812,1
16,CANDELS COSMOS F160W J100014.47+022249.5,10 00 14.46,+02 22 49.7,8.196313,Galaxy,88173.0,0.354,1
17,[NHM2017] 16602,10 00 14.173,+02 22 40.34,8.516144,Galaxy,248420.0,2.2667,1
18,[NHM2017] 34662,10 00 13.784,+02 22 56.31,8.5736065,Galaxy,99513.0,0.412,1
19,[NHM2017] 34675,10 00 14.139,+02 22 56.14,8.747311,Galaxy,92171.0,0.374,1
20,ZFOURGE COSMOS 20107,10 00 13.6743,+02 22 39.790,9.028975,Galaxy,158213.0,0.7986,1
21,[NHM2017] 16993,10 00 13.392,+02 22 52.55,9.19147,Galaxy,67626.0,0.258,1
22,ZFOURGE COSMOS 19721,10 00 13.3704,+02 22 52.144,9.288043,Galaxy,76704.0,0.2991,1
23,ZFOURGE COSMOS 19616,10 00 14.4397,+02 22 53.262,9.337476,Galaxy,147197.0,0.7115,1
24,ZFOURGE COSMOS 19484,10 00 14.2822,+02 22 55.687,9.367466,Galaxy,276974.0,4.0275,1
25,[NHM2017] 16963,10 00 14.270,+02 22 55.90,9.44068,Galaxy,91379.0,0.37,1
26,[NHM2017] 16913,10 00 13.343,+02 22 51.64,9.446095,Galaxy,110104.0,0.47,1
27,[NHM2017] 34678,10 00 14.058,+02 22 57.28,9.491685,Galaxy,104717.0,0.44,1
28,ZFOURGE COSMOS 19709,10 00 14.5129,+02 22 52.033,9.690822,Galaxy,149304.0,0.7275,1
29,[NHM2017] 34677,10 00 14.017,+02 22 57.77,9.870189,Galaxy,99135.0,0.41,1
30,[NHM2017] 16937,10 00 13.510,+02 22 55.84,10.014637,Galaxy,266435.0,3.12,1
31,[NHM2017] 16900,10 00 13.306,+02 22 52.54,10.327062,Galaxy,33036.0,0.117,1
32,[NHM2017] 16964,10 00 13.484,+02 22 56.22,10.550185,Galaxy,89382.0,0.36,1
33,ZFOURGE COSMOS 19828,10 00 13.4875,+02 22 56.384,10.643382,Galaxy,270110.0,3.3818,1
34,ZFOURGE COSMOS 20062,10 00 14.0625,+02 22 37.537,10.664077,Galaxy,101578.0,0.423,1
35,ZFOURGE COSMOS 20055,10 00 14.1687,+02 22 37.907,10.733875,Galaxy,102878.0,0.43,1
