,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,XLSSC 571,23 33 45.9,-55 38 16,0.0,ClG,149108.0,0.726,1
1,DES J233345.96-553816.7,23 33 45.963,-55 38 16.77,0.93891704,GtowardsCl,141545.0,0.67,1
2,DES J233346.01-553819.6,23 33 46.012,-55 38 19.66,3.778947,GtowardsCl,,,1
3,DES J233345.43-553814.4,23 33 45.433,-55 38 14.43,4.248879,GtowardsCl,,,1
4,DES J233346.63-553815.8,23 33 46.633,-55 38 15.88,6.2066846,GtowardsCl,,,1
5,DES J233346.65-553809.1,23 33 46.651,-55 38 09.17,9.331535,GtowardsCl,,,1
6,DES J233346.27-553806.2,23 33 46.274,-55 38 06.29,10.214965,GtowardsCl,,,1
7,DES J233345.92-553805.6,23 33 45.924,-55 38 05.62,10.383669,GtowardsCl,,,1
8,DES J233346.37-553826.9,23 33 46.377,-55 38 26.93,11.650208,GtowardsCl,,,1
9,DES J233345.96-553829.3,23 33 45.962,-55 38 29.37,13.3813925,GtowardsCl,,,1
10,DES J233346.37-553759.9,23 33 46.374,-55 37 59.97,16.521255,GtowardsCl,,,1
11,DES J233346.38-553757.8,23 33 46.387,-55 37 57.81,18.65583,GtowardsCl,,,1
12,DES J233348.28-553820.8,23 33 48.288,-55 38 20.86,20.796516,GtowardsCl,,,1
13,DES J233348.35-553810.6,23 33 48.353,-55 38 10.63,21.44875,GtowardsCl,,,1
14,DES J233344.80-553836.0,23 33 44.802,-55 38 36.03,22.08699,GtowardsCl,,,1
15,DES J233343.40-553759.7,23 33 43.408,-55 37 59.71,26.656069,GtowardsCl,,,1
16,DES J233343.46-553834.1,23 33 43.463,-55 38 34.14,27.472414,GtowardsCl,,,1
17,DES J233343.62-553846.1,23 33 43.625,-55 38 46.15,35.77874,GtowardsCl,,,1
18,DES J233341.20-553821.9,23 33 41.208,-55 38 21.92,40.15983,GtowardsCl,,,1
19,DES J233341.10-553804.2,23 33 41.105,-55 38 04.23,42.27246,GtowardsCl,,,1
20,DES J233341.73-553854.5,23 33 41.738,-55 38 54.54,52.216656,GtowardsCl,,,1
21,DES J233349.77-553856.6,23 33 49.775,-55 38 56.63,52.216656,GtowardsCl,,,1
22,DES J233341.39-553856.1,23 33 41.395,-55 38 56.13,55.36004,GtowardsCl,,,1
23,DES J233339.07-553821.0,23 33 39.073,-55 38 21.00,58.01126,GtowardsCl,,,1
24,DES J233349.88-553906.0,23 33 49.884,-55 39 06.06,60.361797,GtowardsCl,,,1
25,DES J233338.76-553812.4,23 33 38.760,-55 38 12.41,60.55281,GtowardsCl,,,1
26,DES J233340.78-553900.3,23 33 40.785,-55 39 00.36,61.990353,GtowardsCl,,,1
27,LCS-CL J233338-5538.1,23 33 38.3,-55 38 10,64.359566,ClG,144302.0,0.69,1
28,DES J233338.31-553810.1,23 33 38.310,-55 38 10.12,64.52511,GtowardsCl,,,1
29,DES J233339.31-553738.0,23 33 39.313,-55 37 38.01,67.48824,GtowardsCl,,,1
30,DES J233337.49-553813.7,23 33 37.496,-55 38 13.70,71.19147,GtowardsCl,,,1
31,DES J233338.47-553854.1,23 33 38.476,-55 38 54.12,73.5049,GtowardsCl,,,1
32,DES J233351.69-553915.5,23 33 51.691,-55 39 15.57,77.140854,GtowardsCl,,,1
33,DES J233336.67-553821.3,23 33 36.671,-55 38 21.35,78.31525,GtowardsCl,,,1
34,DES J233355.41-553749.2,23 33 55.418,-55 37 49.23,84.9241,GtowardsCl,,,1
35,DES J233337.81-553724.7,23 33 37.813,-55 37 24.70,85.561455,GtowardsCl,,,1
36,DES J233334.67-553842.6,23 33 34.671,-55 38 42.68,98.73475,GtowardsCl,,,1
37,XXL-AAOmega J233337.88-553928.2,23 33 37.8959,-55 39 28.436,99.18022,Star,,,1
