,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,XMMXCS J042226.3-514029.7,04 22 26.36,-51 40 29.7,0.014120039,ClG,129847.0,0.59,1
1,DES J042226.45-514031.1,04 22 26.451,-51 40 31.16,1.6906139,GtowardsCl,,,1
2,DES J042226.77-514029.3,04 22 26.777,-51 40 29.32,3.8997219,GtowardsCl,,,1
3,DES J042227.03-514038.6,04 22 27.030,-51 40 38.65,10.906668,GtowardsCl,,,1
4,DES J042225.44-514038.7,04 22 25.446,-51 40 38.74,12.407181,GtowardsCl,,,1
5,DES J042227.66-514023.2,04 22 27.663,-51 40 23.26,13.727777,GtowardsCl,,,1
6,DES J042227.80-514041.5,04 22 27.803,-51 40 41.57,17.916704,GtowardsCl,,,1
7,DES J042228.95-514034.8,04 22 28.955,-51 40 34.87,24.682945,GtowardsCl,,,1
8,DES J042223.52-514023.7,04 22 23.529,-51 40 23.77,26.98969,GtowardsCl,,,1
9,DES J042223.55-514017.4,04 22 23.551,-51 40 17.42,28.873243,GtowardsCl,,,1
10,DES J042229.70-514029.6,04 22 29.707,-51 40 29.69,31.137348,GtowardsCl,,,1
11,DES J042226.38-513957.0,04 22 26.388,-51 39 57.02,32.680603,GtowardsCl,,,1
12,DES J042223.86-514059.5,04 22 23.869,-51 40 59.60,37.821316,GtowardsCl,,,1
13,DES J042223.66-514000.7,04 22 23.660,-51 40 00.71,38.35889,GtowardsCl,,,1
14,DES J042223.09-514001.3,04 22 23.091,-51 40 01.39,41.54266,GtowardsCl,,,1
15,DES J042221.89-514059.2,04 22 21.898,-51 40 59.22,50.92731,GtowardsCl,,,1
16,DES J042221.46-514005.5,04 22 21.467,-51 40 05.53,51.536076,GtowardsCl,,,1
17,DES J042232.37-514047.7,04 22 32.376,-51 40 47.79,58.80748,GtowardsCl,,,1
18,DES J042224.92-514127.5,04 22 24.922,-51 41 27.54,59.36415,GtowardsCl,,,1
19,DES J042228.52-513933.6,04 22 28.529,-51 39 33.66,59.564404,GtowardsCl,,,1
20,DES J042233.43-514029.7,04 22 33.438,-51 40 29.76,65.838425,GtowardsCl,,,1
21,DES J042230.61-513934.5,04 22 30.616,-51 39 34.57,67.876755,GtowardsCl,,,1
22,DES J042221.01-513941.8,04 22 21.020,-51 39 41.88,68.95618,GtowardsCl,,,1
23,DES J042233.08-514058.7,04 22 33.089,-51 40 58.77,69.00652,GtowardsCl,,,1
24,DES J042233.71-514048.4,04 22 33.713,-51 40 48.48,70.91882,GtowardsCl,,,1
25,DES J042223.18-514136.0,04 22 23.187,-51 41 36.01,72.58286,GtowardsCl,,,1
26,DES J042234.21-514034.0,04 22 34.220,-51 40 34.06,73.23865,GtowardsCl,,,1
27,DES J042234.32-514021.5,04 22 34.320,-51 40 21.55,74.49601,GtowardsCl,,,1
28,DES J042226.70-513914.3,04 22 26.710,-51 39 14.36,75.413376,GtowardsCl,,,1
29,DES J042234.63-514016.8,04 22 34.637,-51 40 16.89,78.05267,GtowardsCl,,,1
30,DES J042235.17-514034.3,04 22 35.174,-51 40 34.34,82.115776,GtowardsCl,,,1
31,DES J042235.08-514015.1,04 22 35.086,-51 40 15.15,82.46436,GtowardsCl,,,1
32,DES J042222.27-513911.3,04 22 22.275,-51 39 11.35,87.08171,GtowardsCl,,,1
33,[RRB2014] RM J042222.3-513911.4,04 22 22.2,-51 39 11,87.70271,ClG,128631.0,0.5821,1
34,DES J042221.70-513904.2,04 22 21.702,-51 39 04.20,95.85786,GtowardsCl,,,1
