,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,XMMXCS J120313.7+442717.8,12 03 13.700,+44 27 17.80,0.0018148544,ClG,87362.0,0.35,1
1,DES J120312.98+442721.5,12 03 12.9884,+44 27 21.515,8.4762945,GtowardsCl,,,1
2,SDSS J120312.79+442709.3,12 03 12.7907,+44 27 09.557,12.756245,BrightestCG,86386.0,0.34521,1
3,DES J120312.63+442742.2,12 03 12.6371,+44 27 42.236,26.95621,GtowardsCl,,,1
4,DES J120311.01+442728.3,12 03 11.0147,+44 27 28.334,30.619514,GtowardsCl,,,1
5,DES J120310.74+442721.8,12 03 10.7425,+44 27 21.889,31.928883,GtowardsCl,,,1
6,DES J120311.95+442649.6,12 03 11.9595,+44 26 49.672,33.7423,GtowardsCl,,,1
7,DES J120315.27+442647.1,12 03 15.2799,+44 26 47.117,35.037476,GtowardsCl,,,1
8,DES J120311.45+442746.1,12 03 11.4546,+44 27 46.179,37.192654,GtowardsCl,,,1
9,[SPD2011] 14309,12 03 16.2,+44 27 44,37.52021,ClG,103726.0,0.4346,1
10,DES J120312.49+442756.4,12 03 12.4980,+44 27 56.431,40.718006,GtowardsCl,,,1
11,DES J120310.77+442650.8,12 03 10.7768,+44 26 50.856,41.300823,GtowardsCl,,,1
12,DES J120311.76+442803.2,12 03 11.7634,+44 28 03.233,49.93956,GtowardsCl,,,1
13,DES J120307.76+442732.3,12 03 07.7619,+44 27 32.324,65.21468,GtowardsCl,,,1
14,[HU2001] J120310.2+442815,12 03 10.2,+44 28 15,68.37983,Radio,,,1
15,DES J120318.99+442639.3,12 03 18.9990,+44 26 39.352,68.54067,GtowardsCl,,,1
16,DES J120306.71+442658.7,12 03 06.7125,+44 26 58.706,77.216545,GtowardsCl,,,1
17,DES J120321.09+442603.0,12 03 21.0999,+44 26 03.072,108.92218,GtowardsCl,,,1
18,DES J120308.87+442854.4,12 03 08.8791,+44 28 54.411,109.53017,GtowardsCl,,,1
19,SDSS J120320.04+442850.2,12 03 20.041,+44 28 50.21,114.66074,BrightestCG,104246.0,0.43743,1
20,SDSS J120327.84+442815.0,12 03 27.8396,+44 28 15.013,161.82433,QSO,201744.0,1.261685,1
21,LAMOST J120312.23+443001.8,12 03 12.231,+44 30 01.84,164.79097,Galaxy,650.0,0.002169,1
22,[EKS96] NGC 4051  72,12 03 12.21,+44 30 02.6,165.56978,HIIReg,,,1
23,SDSS J120318.78+442954.5,12 03 18.788,+44 29 54.54,165.93095,BrightestCG,143859.0,0.68675,1
