,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ZwCl 0027-0036,00 29 27.73,-00 11 49.6,0.032557636,ClG,17449.0,0.06,1
1,SDSS J002927.68-001149.7,00 29 27.685,-00 11 49.79,0.7044157,BrightestCG,19859.0,0.06859,1
2,2SLAQ J002927.40-001146.8,00 29 27.409,-00 11 46.90,5.520322,Galaxy,,,1
3,LEDA 1149785,00 29 25.9294,-00 11 04.607,52.476593,Galaxy,17139.0,0.0589,1
4,NVSS J002928-001246,00 29 28.40,-00 12 44.0,55.32053,Radio,,,1
5,MCG+00-02-054,00 29 28.4236,-00 12 45.453,56.81479,BrightestCG,17412.0,0.05987,1
6,SDSS J002927.18-001321.1,00 29 27.1829,-00 13 21.195,91.9625,QSO,257622.0,2.63568,1
7,LEDA 1149610,00 29 34.9826,-00 11 28.905,110.739655,Galaxy,17440.0,0.05997,1
8,SDSS J002920.47-001127.2,00 29 20.480,-00 11 27.28,111.02032,Galaxy,17153.0,0.05895,1
9,[VV2003c] J002935.0-001110,00 29 35.0,-00 11 10,116.01694,Seyfert1,65808.0,0.25,1
10,NAME RX J0029.6-0012 Group,00 29.6,-00 12,124.48445,GroupG,,,1
11,2MASX J00292036-0010290,00 29 20.3596,-00 10 28.984,136.82532,Seyfert1,17595.0,0.06052,1
12,LEDA 1150320,00 29 23.3746,-00 09 49.236,136.95003,Galaxy,16800.0,0.0577,1
13,RX J0029.6-0012,00 29 37.001,-00 12 18.50,142.03537,Galaxy,17449.0,0.06,1
14,[BMA2003] BH  72,00 29 19,-00 10.9,142.2641,ClG,,,1
15,SDSS J002931.15-001404.9,00 29 31.1506,-00 14 05.017,144.81186,Galaxy,17874.0,0.06151,1
16,SDSS J002918.53-001102.7,00 29 18.533,-00 11 02.73,145.69337,Galaxy,17297.0,0.05946,1
17,SDSS J002924.13-000927.1,00 29 24.1349,-00 09 27.111,152.35132,Galaxy,36273.0,0.12929,1
18,FF J0029-0009,00 29 29.5391,-00 09 12.928,159.00432,EmissionG,46170.0,0.16794,1
19,SDSS J002936.99-001310.5,00 29 36.9921,-00 13 10.514,160.77682,Galaxy,17742.0,0.06104,1
20,MCG+00-02-055,00 29 35.5915,-00 14 06.662,180.80905,EmissionG,17731.0,0.061,1
21,SDSS J002928.93-001456.6,00 29 28.9362,-00 14 56.703,187.9759,Galaxy,18110.0,0.06235,1
22,SDSS J002938.60-001332.8,00 29 38.602,-00 13 32.84,193.00912,QSO,241972.0,2.061,1
23,SDSS J002916.63-001327.7,00 29 16.6321,-00 13 27.763,193.25383,Galaxy,36524.0,0.13025,1
24,LEDA 1149967,00 29 15.5783,-00 10 38.794,195.54271,Galaxy,17635.0,0.06066,1
25,LEDA  172199,00 29 14.7094,-00 11 18.598,197.75284,Galaxy,17299.0,0.05947,1
26,2SLAQ J002934.29-000849.9,00 29 34.290,-00 08 49.94,204.84186,Galaxy,,,1
27,SDSS J002938.18-001404.1,00 29 38.182,-00 14 04.15,206.59695,Galaxy,17902.0,0.06161,1
28,SDSS J002934.44-000841.9,00 29 34.447,-00 08 41.93,213.00589,QSO,245459.0,2.167862,1
29,[BMA2003] BH  71,00 29 14,-00 10.9,213.32205,ClG,,,1
30,LEDA 1148882,00 29 13.8822,-00 13 07.402,221.80763,Galaxy,16831.0,0.05781,1
31,LEDA 1150987,00 29 22.1693,-00 08 20.560,225.06612,Galaxy,16887.0,0.05801,1
32,SDSS J002943.07-001206.2,00 29 43.080,-00 12 06.28,230.84828,Galaxy,17237.0,0.05925,1
33,MLCG 1105,00 29 12.419,-00 11 15.25,232.22151,Compact_Gr_G,17223.0,0.0592,1
34,SDSS J002910.93-001116.9,00 29 10.9334,-00 11 16.971,254.05043,Galaxy,17060.0,0.05862,1
35,[S85] 512,00 29.6,-00 08,260.96826,ClG,,,1
36,SDSS J002945.32-001148.4,00 29 45.3242,-00 11 48.446,263.91425,Galaxy,17531.0,0.06029,1
37,2MASS J00291494-0008425,00 29 14.9468,-00 08 42.611,267.82654,Galaxy,16223.0,0.05566,1
38,ClG J0029-0008,00 29 14.9,-00 08 42,268.7572,ClG,17449.0,0.06,1
39,2MASS J00294006-0008254,00 29 40.0558,-00 08 25.373,275.48502,Low-Mass*,-27.338,-9.1e-05,1
40,NVSS J002941-001448,00 29 42.321,-00 14 44.54,280.1879,RadioG,78723.0,0.30851,1
41,SDSS J002917.73-001549.1,00 29 17.7301,-00 15 49.177,282.65955,QSO,239545.0,1.992,1
42,IC   21,00 29 10.4290,-00 09 49.621,285.90527,Seyfert2,17671.0,0.06079,1
43,SDSS J002946.71-001102.5,00 29 46.7186,-00 11 02.548,288.68774,Galaxy,17970.0,0.06185,1
44,2MASX J00290846-0011470,00 29 08.4555,-00 11 46.722,289.13004,Galaxy,16924.0,0.05814,1
45,SDSS J002937.03-001605.4,00 29 37.036,-00 16 05.46,291.4554,Galaxy,37840.0,0.1353,1
46,LEDA 1148755,00 29 08.4117,-00 13 26.256,305.46744,Galaxy,17801.0,0.06125,1
47,Gaia DR3 2543623466852736256,00 29 07.3655,-00 12 04.766,305.84097,Galaxy,,,1
48,2MASX J00292483-0017000,00 29 24.8254,-00 17 00.216,313.65726,Seyfert2,36459.0,0.13,1
49,SDSS J002947.80-000943.2,00 29 47.800,-00 09 43.25,326.4882,Galaxy,90378.0,0.36497,1
50,SDSS-II SN 12879,00 29 47.807,-00 09 43.09,326.64694,Supernova,102693.0,0.429,1
51,FIRST J002937.8-001639,00 29 37.8072,-00 16 39.370,326.82602,AGN_Candidate,,,1
52,HD   2606,00 29 38.2173,-00 06 54.392,334.50555,SB*,9.28461,3.1e-05,1
53,SDSS J002912.67-001601.1,00 29 12.6727,-00 16 01.059,337.99854,Galaxy,19129.0,0.06598,1
54,SDSS J002905.08-001134.4,00 29 05.082,-00 11 34.46,340.05893,Galaxy,45301.0,0.16448,1
55,MLCG 0246,00 29 06.126,-00 13 35.43,340.89258,Compact_Gr_G,17618.0,0.0606,1
56,SDSS J002905.75-001001.9,00 29 05.7593,-00 10 01.925,346.70193,Galaxy,17483.0,0.06012,1
57,LEDA 1148649,00 29 05.778,-00 13 44.75,348.83453,Galaxy,17550.0,0.06036,1
58,FIRST J002947.8-001444,00 29 47.8568,-00 14 44.878,349.0935,RadioG,17750.0,0.06107,1
59,SDSS J002907.63-000846.3,00 29 07.6351,-00 08 46.311,352.77423,Galaxy,16955.0,0.05825,1
60,SDSS J002951.29-001049.2,00 29 51.2944,-00 10 49.295,358.57278,Galaxy,17093.0,0.05874,1
61,2MASS J00295213-0012275,00 29 52.1353,-00 12 27.509,368.03513,Low-Mass*,-0.894,-3e-06,1
62,SDSS J002937.98-000615.1,00 29 37.982,-00 06 15.16,368.10373,Galaxy,57123.0,0.21276,1
63,SDSS J002904.18-001335.2,00 29 04.1876,-00 13 35.268,368.60385,Galaxy,17514.0,0.06023,1
64,SDSS J002949.70-001440.7,00 29 49.6980,-00 14 40.812,371.34317,Star,26.757,8.9e-05,1
65,2MASS J00294782-0015430,00 29 47.8387,-00 15 43.149,381.47745,Low-Mass*,60.48,0.000202,1
66,TYC 4665-451-1,00 29 43.5840,-00 16 48.922,382.29193,Star,-3.46,-1.2e-05,1
67,SDSS J002952.42-001325.3,00 29 52.423,-00 13 25.37,382.57562,QSO,228191.0,1.715497,1
68,LEDA 1150408,00 29 03.7596,-00 09 38.117,382.84048,Galaxy,17967.0,0.06184,1
69,SDSS-II SN  3983,00 29 06.211,-00 15 23.59,387.27283,Supernova,72319.0,0.279,1
70,SDSS J002906.22-001525.0,00 29 06.222,-00 15 25.08,387.96088,Galaxy,78616.0,0.30801,1
71,SDSS J002902.44-001005.9,00 29 02.4505,-00 10 05.859,393.12445,QSO,234812.0,1.868304,1
72,LEDA 1152121,00 29 20.6003,-00 05 29.624,394.73898,Galaxy,17590.0,0.0605,1
73,IRAS F00264-0030,00 29 02.5,-00 13 50,397.00552,Infrared,,,1
74,SDSS J002954.50-001126.7,00 29 54.510,-00 11 26.78,402.34183,Galaxy,45766.0,0.16633,1
75,LEDA 1152235,00 29 33.0212,-00 05 14.843,402.65576,Galaxy,17091.0,0.05873,1
76,SDSS J002909.86-000641.7,00 29 09.8915,-00 06 41.747,407.88498,Galaxy,19784.0,0.06832,1
77,LEDA 1146942,00 29 42.1,-00 17 39,410.5378,Galaxy,,,1
78,SDSS J002954.96-001053.4,00 29 54.9702,-00 10 53.430,412.444,QSO,250781.0,2.35164,1
79,SDSS J002903.94-001524.5,00 29 03.9474,-00 15 24.538,416.48294,Galaxy,16805.0,0.05772,1
80,SDSS J002918.34-000517.3,00 29 18.284,-00 05 17.35,417.05634,HIIG,19971.0,0.06899,1
81,SDSSCGB 35475.2,00 29 02.973,-00 08 28.92,422.10873,Galaxy,,,1
82,SDSS J002932.64-001845.4,00 29 32.646,-00 18 45.43,422.31467,Galaxy,17500.0,0.06018,1
83,SDSSCGB 35475.1,00 29 03.114,-00 08 22.29,423.45535,Galaxy,,,1
84,SN 2018kil,00 29 09.24,-00 06 19.3,431.301,Supernova,19974.0,0.069,1
85,SDSSCGB 35475.4,00 29 02.785,-00 08 15.08,431.30563,Galaxy,,,1
86,SDSSCGB 35475,00 29 02.5,-00 08 22,431.64908,Compact_Gr_G,,,1
87,SDSS J002909.19-000619.3,00 29 09.198,-00 06 19.37,431.64975,Galaxy,19851.0,0.06856,1
88,2SLAQ J002901.87-000828.5,00 29 01.879,-00 08 28.51,436.8038,Galaxy,,,1
89,SDSS J002919.62-000444.5,00 29 19.6248,-00 04 44.516,442.1277,Galaxy,36134.0,0.12876,1
90,SDSSCGB 35475.5,00 29 01.869,-00 08 17.38,442.16974,Galaxy,,,1
91,SDSS J002858.58-001258.4,00 28 58.5843,-00 12 58.382,442.56018,Star,69.49957,0.000232,1
92,SDSS J002950.29-000637.4,00 29 50.2905,-00 06 37.466,460.3768,Galaxy,17784.0,0.06119,1
93,2MASS J00295293-0007203,00 29 52.9366,-00 07 20.590,464.03076,Low-Mass*,-48.72,-0.000162,1
94,LEDA 1152319,00 29 11.4146,-00 05 05.468,472.45654,Galaxy,16424.0,0.05637,1
95,[GMB2011] 2087,00 30 00.078,-00 12 58.83,490.13144,ClG,68078.0,0.26,1
96,2MASS J00300188-0012087,00 30 01.8854,-00 12 08.352,512.6716,Low-Mass*,23.015,7.7e-05,1
97,2MASS J00285818-0007167,00 28 58.1978,-00 07 16.778,520.2534,Low-Mass*,23.362,7.8e-05,1
98,SDSS J002920.19-000321.6,00 29 20.195,-00 03 21.68,520.3406,QSO,186695.0,1.074,1
