,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,ZwCl 1231+1007,12 34 21.9,+09 47 02,0.0,ClG,61675.0,0.23208,1
1,DES J123423.72+094705.8,12 34 23.7258,+09 47 05.842,27.261564,GtowardsCl,,,1
2,DES J123420.04+094650.8,12 34 20.0412,+09 46 50.862,29.64773,GtowardsCl,,,1
3,DES J123424.17+094656.8,12 34 24.1720,+09 46 56.819,33.98274,GtowardsCl,,,1
4,NVSS J123424+094721,12 34 24.0798,+09 47 15.572,34.96371,RadioG,61675.0,0.23208,1
5,DES J123423.23+094628.9,12 34 23.2321,+09 46 28.964,38.459717,GtowardsCl,,,1
6,DES J123423.98+094635.8,12 34 23.9814,+09 46 35.834,40.3889,GtowardsCl,,,1
7,SDSSCGB 33277.4,12 34 19.366,+09 46 37.28,44.87925,Galaxy,,,1
8,SDSSCGB 33277,12 34 18.7,+09 46 31,56.555508,Compact_Gr_G,,,1
9,DES J123425.53+094723.9,12 34 25.5335,+09 47 23.938,58.016563,GtowardsCl,,,1
10,DES J123419.05+094742.5,12 34 19.0566,+09 47 42.504,58.37005,GtowardsCl,,,1
11,XCLASS 3339,12 34 25.2,+09 47 35,58.983166,ClG,61656.0,0.232,1
12,SDSSCGB 33277.1,12 34 18.3745,+09 46 33.293,59.496487,GtowardsCl,,,1
13,SDSSCGB 33277.3,12 34 18.936,+09 46 21.60,59.59728,Galaxy,,,1
14,DES J123424.16+094752.3,12 34 24.1647,+09 47 52.424,60.525757,GtowardsCl,,,1
15,SDSSCGB 33277.2,12 34 18.087,+09 46 31.72,63.982517,Galaxy,,,1
16,DES J123426.20+094714.1,12 34 26.2020,+09 47 14.226,64.75633,GtowardsCl,,,1
17,DES J123425.03+094750.4,12 34 25.0336,+09 47 50.477,67.04882,GtowardsCl,,,1
18,DES J123423.84+094805.0,12 34 23.8427,+09 48 05.085,69.312904,GtowardsCl,,,1
19,DES J123425.82+094742.4,12 34 25.8291,+09 47 42.441,70.771286,GtowardsCl,,,1
20,DES J123426.56+094730.8,12 34 26.5638,+09 47 30.875,74.74191,GtowardsCl,,,1
21,DES J123426.64+094617.8,12 34 26.6455,+09 46 17.832,82.89502,GtowardsCl,,,1
22,DES J123426.42+094752.3,12 34 26.4252,+09 47 52.397,83.749695,GtowardsCl,,,1
23,XCLASS 3342,12 34 17.5,+09 46 04,86.87216,ClG,61423.0,0.231,1
24,DES J123425.11+094547.7,12 34 25.1142,+09 45 47.690,88.201385,GtowardsCl,,,1
25,DES J123426.57+094759.5,12 34 26.5785,+09 47 59.592,89.99641,GtowardsCl,,,1
26,2MASX J12341746+0945577,12 34 17.465,+09 45 58.46,91.29737,BrightestCG,61320.0,0.23056,1
27,DES J123419.63+094829.5,12 34 19.6356,+09 48 29.529,93.71003,GtowardsCl,,,1
28,DES J123418.23+094542.1,12 34 18.2332,+09 45 42.170,96.492584,GtowardsCl,,,1
29,DES J123415.60+094624.7,12 34 15.6063,+09 46 24.731,100.22053,GtowardsCl,,,1
30,LEDA 1369764,12 34 27.3,+09 46 01,100.46324,Galaxy,26001.0,0.090839,1
31,SDSS J123428.66+094647.1,12 34 28.6557,+09 46 47.176,100.95789,Galaxy,30030.0,0.10573,1
32,DES J123420.55+094522.0,12 34 20.5586,+09 45 22.052,101.89545,GtowardsCl,,,1
