,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,[AWK2020] 378,10 13 46.91,+19 45 21.0,0.037056345,ClG,31722.0,0.11205785,1
1,2MASX J10134691+1945312,10 13 46.8938,+19 45 30.566,9.569015,GtowardsGroup,31382.0,0.11078,1
2,PCG J1013+1945 D,10 13 45.84,+19 45 37.6,22.4438,GtowardsGroup,34033.0,0.120767,1
3,SDSS J101346.98+194453.0,10 13 46.9891,+19 44 53.064,27.958057,GtowardsCl,31808.0,0.11238,1
4,[WLH2009] 253,10 13 45.8,+19 45 46,29.504889,PairG,31814.0,0.1124,1
5,[WLH2009] J153.44344+19.76384,10 13 46.4224,+19 45 49.826,29.637266,BrightestCG,31816.0,0.11241,1
6,PCG J1013+1945 A,10 13 45.1930,+19 45 42.822,32.614185,GtowardsGroup,32066.0,0.11335,1
7,MLCG 0647,10 13 45.00,+19 45 41.0,33.57106,GroupG,31608.0,0.11163,1
8,DES J101348.66+194547.8,10 13 48.6701,+19 45 47.859,36.58982,GtowardsCl,,,1
9,PCG J1013+1945 C,10 13 44.87,+19 45 51.5,41.947403,GtowardsGroup,33378.0,0.11829,1
10,DES J101344.27+194450.8,10 13 44.2785,+19 44 50.849,47.844975,GtowardsCl,,,1
11,SDSS J101350.34+194504.2,10 13 50.3415,+19 45 04.204,51.27256,GtowardsCl,31384.0,0.11079,1
12,LEDA 1603884,10 13 44.7439,+19 44 38.837,52.084236,GtowardsCl,31774.0,0.11225,1
13,SDSS J101343.23+194549.4,10 13 43.2375,+19 45 49.492,59.157036,ChemPec*,-31.7,-0.000106,1
