,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,[DT2000] NGC 4104 10,12 07 47.2,+28 13 11,0.0,ClG,107793.0,0.457,1
1,DES J120746.84+281307.8,12 07 46.8459,+28 13 07.876,5.627529,GtowardsCl,,,1
2,DES J120746.65+281312.5,12 07 46.6510,+28 13 12.535,7.416651,GtowardsCl,,,1
3,DES J120747.07+281320.7,12 07 47.0798,+28 13 20.745,9.874087,GtowardsCl,,,1
4,DES J120746.60+281257.1,12 07 46.6092,+28 12 57.142,15.90596,GtowardsCl,,,1
5,DES J120748.38+281337.9,12 07 48.3811,+28 13 37.994,31.182701,GtowardsCl,,,1
6,DES J120743.61+281317.6,12 07 43.6144,+28 13 17.645,47.85501,GtowardsCl,,,1
7,DES J120745.17+281229.4,12 07 45.1758,+28 12 29.458,49.412266,GtowardsCl,,,1
8,DES J120750.33+281239.4,12 07 50.3396,+28 12 39.422,52.146404,GtowardsCl,,,1
9,DES J120750.62+281337.2,12 07 50.6263,+28 13 37.229,52.33198,GtowardsCl,,,1
10,DES J120746.22+281218.3,12 07 46.2264,+28 12 18.361,54.188995,GtowardsCl,,,1
11,DES J120750.84+281339.6,12 07 50.8417,+28 13 39.641,56.008125,GtowardsCl,,,1
12,[RRB2014] RM J120748.1+281409.6,12 07 48.1,+28 14 09,59.20709,ClG,101148.0,0.4207,1
13,SDSS J120748.13+281409.6,12 07 48.133,+28 14 09.62,59.904938,BrightestCG,107901.0,0.4576,1
14,DES J120745.85+281414.1,12 07 45.8582,+28 14 14.200,65.64034,GtowardsCl,,,1
15,SDSS J120751.02+281354.2,12 07 51.021,+28 13 54.29,66.51577,BrightestCG,108647.0,0.46178,1
16,[RRB2014] RM J120751.0+281354.3,12 07 51.0285,+28 13 54.258,66.56979,ClG,108647.0,0.46178,1
17,DES J120748.80+281417.1,12 07 48.8064,+28 14 17.166,69.489006,GtowardsCl,,,1
18,DES J120749.26+281418.4,12 07 49.2607,+28 14 18.426,72.71904,GtowardsCl,,,1
19,DES J120750.92+281405.6,12 07 50.9233,+28 14 05.648,73.537766,GtowardsCl,,,1
20,DES J120750.44+281411.2,12 07 50.4497,+28 14 11.206,73.95476,GtowardsCl,,,1
21,DES J120741.86+281340.6,12 07 41.8675,+28 13 40.661,76.46467,GtowardsCl,,,1
22,Gaia DR3 4013008057432918528,12 07 41.1610,+28 13 17.378,80.07103,Galaxy,,,1
23,DES J120740.89+281233.8,12 07 40.8901,+28 12 33.853,91.3014,GtowardsCl,,,1
24,DES J120750.93+281428.8,12 07 50.9399,+28 14 28.884,92.243835,GtowardsCl,,,1
25,DES J120752.16+281429.8,12 07 52.1650,+28 14 29.813,102.5528,GtowardsCl,,,1
26,DES J120752.50+281433.0,12 07 52.5000,+28 14 33.003,107.845116,GtowardsCl,,,1
27,DES J120743.61+281450.4,12 07 43.6183,+28 14 50.488,110.174,GtowardsCl,,,1
28,SDSS J120749.71+281058.5,12 07 49.715,+28 10 58.50,136.60837,BrightestCG,103353.0,0.43257,1
29,Cl* Melotte  111     AV     185,12 07 52.6056,+28 15 14.882,143.00363,Star,-28.37,-9.5e-05,1
30,DES J120755.50+281519.8,12 07 55.5004,+28 15 19.862,169.22444,GtowardsCl,,,1
31,SDSS J120734.22+281403.6,12 07 34.2151,+28 14 03.683,179.51558,QSO,267437.0,3.187,1
