,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,[MFP2015] XCC J0221.5-0626,02 21 34.7,-06 26 18,0.0,ClG,79890.0,0.314,1
1,DES J022134.73-062618.0,02 21 34.7419,-06 26 18.221,0.6635618,GtowardsCl,79882.0,0.31396,1
2,1HERMES S250 J022135.1-062617,02 21 34.891,-06 26 17.87,2.8498974,Infrared,,,1
3,DES J022134.78-062614.7,02 21 34.783,-06 26 14.70,3.5229454,GtowardsCl,,,1
4,DES J022134.50-062612.3,02 21 34.508,-06 26 12.34,6.3448706,GtowardsCl,,,1
5,[BRF2015] HXMM03.2,02 21 35.132,-06 26 18.02,6.4391623,smmRad,,,1
6,[BRF2015] HXMM03.1,02 21 35.124,-06 26 16.62,6.4688034,smmRad,,,1
7,[BRF2015] HXMM03.0,02 21 35.136,-06 26 17.28,6.538517,smmRad,,,1
8,DES J022135.18-062624.9,02 21 35.183,-06 26 24.94,9.994673,GtowardsCl,,,1
9,DES J022133.95-062616.7,02 21 33.955,-06 26 16.73,11.181286,GtowardsCl,,,1
10,DES J022134.35-062638.0,02 21 34.352,-06 26 38.09,20.746916,GtowardsCl,,,1
11,DES J022133.43-062631.0,02 21 33.437,-06 26 31.07,22.915417,GtowardsCl,,,1
12,DES J022133.19-062623.9,02 21 33.1911,-06 26 23.989,23.273993,GtowardsCl,,,1
13,DES J022135.90-062634.4,02 21 35.904,-06 26 34.50,24.382107,GtowardsCl,,,1
14,DES J022135.76-062640.2,02 21 35.766,-06 26 40.26,27.347933,GtowardsCl,,,1
15,DES J022135.36-062644.7,02 21 35.369,-06 26 44.80,28.593822,GtowardsCl,,,1
16,DES J022134.14-062645.8,02 21 34.1444,-06 26 45.889,29.092474,GtowardsCl,,,1
17,DES J022133.12-062640.4,02 21 33.125,-06 26 40.43,32.463535,GtowardsCl,,,1
18,DES J022137.28-062607.2,02 21 37.284,-06 26 07.20,39.99711,GtowardsCl,,,1
19,DES J022132.54-062546.9,02 21 32.544,-06 25 46.93,44.704487,GtowardsCl,,,1
20,DES J022137.26-062643.0,02 21 37.260,-06 26 43.05,45.654003,GtowardsCl,,,1
21,DES J022132.95-062537.9,02 21 32.9524,-06 25 37.919,47.802128,GtowardsCl,,,1
22,DES J022131.14-062624.8,02 21 31.146,-06 26 24.89,53.426865,GtowardsCl,,,1
23,DES J022135.55-062722.8,02 21 35.557,-06 27 22.81,66.059845,GtowardsCl,,,1
24,DES J022134.73-062724.2,02 21 34.7335,-06 27 24.300,66.30152,GtowardsCl,,,1
25,DES J022129.90-062535.4,02 21 29.908,-06 25 35.41,83.15675,GtowardsCl,79873.0,0.31392,1
26,DES J022136.15-062451.9,02 21 36.151,-06 24 51.92,88.760544,GtowardsCl,,,1
27,DES J022133.64-062448.9,02 21 33.643,-06 24 48.97,90.40849,GtowardsCl,,,1
28,DES J022140.66-062542.2,02 21 40.6621,-06 25 42.249,95.78943,GtowardsCl,,,1
29,DES J022133.54-062418.2,02 21 33.546,-06 24 18.30,120.930824,GtowardsCl,,,1
30,DES J022141.60-062728.0,02 21 41.602,-06 27 28.07,124.4688,GtowardsCl,,,1
31,DES J022126.38-062548.9,02 21 26.387,-06 25 48.95,127.26946,GtowardsCl,,,1
32,DES J022129.95-062431.4,02 21 29.954,-06 24 31.42,127.91441,GtowardsCl,,,1
33,GAMA 1645633,02 21 38.58,-06 24 00.3,149.36363,Galaxy,35230.0,0.12531,1
34,DES J022125.09-062514.1,02 21 25.092,-06 25 14.17,156.78905,GtowardsCl,,,1
35,DES J022144.25-062724.6,02 21 44.260,-06 27 24.69,157.32593,GtowardsCl,,,1
36,DES J022145.33-062633.2,02 21 45.3361,-06 26 33.434,159.28484,GtowardsCl,79857.0,0.313844,1
37,DES J022145.39-062619.4,02 21 45.397,-06 26 19.46,159.44551,GtowardsCl,,,1
38,DES J022144.96-062705.4,02 21 44.962,-06 27 05.45,160.14827,GtowardsCl,,,1
39,SDSS J022144.21-062745.3,02 21 44.2179,-06 27 45.347,166.6,QSO,275352.0,3.851,1
40,GAMA 2295443,02 21 24.25,-06 28 07.8,190.56604,Galaxy,57235.0,0.21323,1
41,DES J022134.35-062941.7,02 21 34.349,-06 29 41.60,203.66768,QSO,199032.0,1.225,1
42,BD-07   412,02 21 45.9148,-06 28 21.639,207.91368,Star,-23.36,-7.8e-05,1
43,GAMA 2295682,02 21 48.02,-06 25 06.5,211.00507,Galaxy,57855.0,0.21584,1
44,DES J022119.40-062530.3,02 21 19.399,-06 25 30.20,233.02245,QSO,230792.0,1.773,1
45,GAMA 1645634,02 21 18.82,-06 24 05.8,271.1127,Galaxy,58204.0,0.21731,1
46,[MFP2015] XCC J0221.5-0630,02 21 31.7,-06 30 54,279.53192,ClG,182707.0,1.03,1
47,DES J022148.67-062253.2,02 21 48.670,-06 22 53.10,292.13858,QSO,219766.0,1.548,1
48,DES J022152.63-062834.5,02 21 52.620,-06 28 34.40,299.9072,QSO,222578.0,1.601,1
