,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,[SPD2011] 5796,02 16 10.5,-09 35 21,0.7168738,ClG,130687.0,0.5955,1
1,DES J021610.53-093521.6,02 16 10.5341,-09 35 21.648,0.82149214,GtowardsCl,,,1
2,SDSS J021611.21-093536.2,02 16 11.211,-09 35 36.24,18.512026,BrightestCG,108907.0,0.46324,1
3,DES J021608.31-093504.9,02 16 08.3116,-09 35 04.919,36.141792,GtowardsCl,,,1
4,DES J021611.12-093556.0,02 16 11.1233,-09 35 56.023,36.215794,GtowardsCl,,,1
5,SDSS J021608.35-093457.9,02 16 08.352,-09 34 57.93,39.26347,BrightestCG,128517.0,0.58136,1
6,DES J021612.97-093541.4,02 16 12.9772,-09 35 41.426,41.94761,GtowardsCl,,,1
7,[RRB2014] RM J021612.6-093601.8,02 16 12.5,-09 36 01,49.749336,ClG,111649.0,0.4788,1
8,DES J021612.56-093601.8,02 16 12.5681,-09 36 01.817,51.0061,GtowardsCl,,,1
9,DES J021612.77-093613.7,02 16 12.7795,-09 36 13.781,62.62972,GtowardsCl,,,1
10,DES J021614.78-093510.1,02 16 14.7828,-09 35 10.191,64.26094,GtowardsCl,,,1
11,DES J021606.91-093433.9,02 16 06.9176,-09 34 33.991,70.8336,GtowardsCl,,,1
12,DES J021615.39-093534.5,02 16 15.3955,-09 35 34.540,73.6619,GtowardsCl,,,1
13,SDSS J021608.19-093411.6,02 16 08.194,-09 34 11.64,77.29528,BrightestCG,126227.0,0.56669,1
14,DES J021612.73-093633.9,02 16 12.7353,-09 36 33.957,80.09807,GtowardsCl,110963.0,0.47488,1
15,[MCM2012] SA26,02 16 04.7,-09 35 07,86.91978,GravLensSystem,,,1
16,[MCM2012] SA26 lens,02 16 04.660,-09 35 06.65,87.56041,GravLens,144302.0,0.69,1
17,DES J021616.72-093547.2,02 16 16.7275,-09 35 47.267,95.77876,GtowardsCl,,,1
18,DES J021611.95-093655.2,02 16 11.9577,-09 36 55.225,96.66035,GtowardsCl,,,1
19,[VV2006] J021615.4-093408,02 16 15.4717,-09 34 08.244,103.445625,QSO,232664.0,1.81636,1
20,ACT-CL J0216.0-0934,02 16 03.6349,-09 34 59.564,103.77639,ClG,130656.0,0.5953,1
21,DES J021615.90-093711.6,02 16 15.9045,-09 37 11.618,136.47508,GtowardsCl,,,1
22,SDSS J021555.77-093658.9,02 15 55.7626,-09 36 58.996,238.97931,QSO,257893.0,2.6483,1
23,[VV2006] J021617.3-093131,02 16 17.2573,-09 31 31.487,250.33328,QSO,220554.0,1.56258,1
