,MAIN_ID,RA_s,DEC_s,DISTANCE_RESULT,OTYPE,RV_VALUE,Z_VALUE,SCRIPT_NUMBER_ID
0,eMACS J1508.1+5755,15 08 21.9,+57 55 15,0.0,ClG,121828.0,0.5392,1
1,DES J150821.96+575515.1,15 08 21.9659,+57 55 15.189,0.55789894,GtowardsCl,,,1
2,DES J150820.41+575512.1,15 08 20.4145,+57 55 12.188,12.163436,GtowardsCl,,,1
3,DES J150821.67+575459.5,15 08 21.6740,+57 54 59.540,15.564482,GtowardsCl,,,1
4,DES J150819.28+575512.1,15 08 19.2820,+57 55 12.179,21.04635,GtowardsCl,,,1
5,DES J150825.14+575522.0,15 08 25.1444,+57 55 22.031,26.78496,GtowardsCl,,,1
6,DES J150824.53+575533.2,15 08 24.5387,+57 55 33.284,27.858566,GtowardsCl,,,1
7,DES J150820.77+575448.5,15 08 20.7727,+57 54 48.580,27.905094,GtowardsCl,,,1
8,DES J150819.07+575458.3,15 08 19.0739,+57 54 58.347,28.004843,GtowardsCl,,,1
9,DES J150820.66+575440.6,15 08 20.6651,+57 54 40.667,35.714935,GtowardsCl,,,1
10,DES J150823.16+575440.4,15 08 23.1628,+57 54 40.467,35.968513,GtowardsCl,,,1
11,DES J150819.55+575548.8,15 08 19.5564,+57 55 48.850,38.65562,GtowardsCl,,,1
12,DES J150823.83+575551.7,15 08 23.8325,+57 55 51.759,39.85195,GtowardsCl,,,1
13,DES J150827.14+575457.0,15 08 27.1457,+57 54 57.014,45.497875,GtowardsCl,,,1
14,DES J150826.15+575546.1,15 08 26.1597,+57 55 46.122,46.041405,GtowardsCl,,,1
15,DES J150822.47+575428.7,15 08 22.4772,+57 54 28.714,46.514297,GtowardsCl,,,1
16,DES J150816.03+575449.9,15 08 16.0374,+57 54 49.950,53.001232,GtowardsCl,,,1
17,DES J150816.33+575445.6,15 08 16.3383,+57 54 45.696,53.124893,GtowardsCl,,,1
18,DES J150824.66+575605.0,15 08 24.6633,+57 56 05.025,54.652397,GtowardsCl,,,1
19,DES J150822.26+575419.8,15 08 22.2660,+57 54 19.851,55.226315,GtowardsCl,,,1
20,DES J150827.63+575546.7,15 08 27.6390,+57 55 46.725,55.643333,GtowardsCl,,,1
21,DES J150828.92+575528.6,15 08 28.9231,+57 55 28.677,57.59354,GtowardsCl,,,1
22,DES J150820.78+575612.0,15 08 20.7815,+57 56 12.075,57.76639,GtowardsCl,,,1
23,DES J150814.57+575502.8,15 08 14.5702,+57 55 02.893,59.636784,GtowardsCl,,,1
24,DES J150819.15+575418.6,15 08 19.1588,+57 54 18.692,60.395634,GtowardsCl,,,1
25,DES J150827.23+575559.1,15 08 27.2340,+57 55 59.117,61.24806,GtowardsCl,,,1
26,DES J150820.82+575410.1,15 08 20.8217,+57 54 10.124,65.442924,GtowardsCl,,,1
27,DES J150815.90+575603.1,15 08 15.9077,+57 56 03.153,67.798386,GtowardsCl,,,1
28,DES J150813.22+575515.4,15 08 13.2270,+57 55 15.487,69.093994,GtowardsCl,,,1
29,DES J150829.23+575430.3,15 08 29.2310,+57 54 30.371,73.50972,GtowardsCl,,,1
30,DES J150821.34+575400.6,15 08 21.3453,+57 54 00.647,74.484344,GtowardsCl,,,1
31,DES J150817.10+575408.8,15 08 17.1055,+57 54 08.815,76.42027,GtowardsCl,,,1
32,DES J150816.51+575409.8,15 08 16.5155,+57 54 09.867,77.99488,GtowardsCl,,,1
33,DES J150830.64+575552.2,15 08 30.6491,+57 55 52.293,79.039185,GtowardsCl,,,1
34,DES J150814.37+575611.5,15 08 14.3761,+57 56 11.594,82.424774,GtowardsCl,,,1
35,DES J150811.88+575536.7,15 08 11.8843,+57 55 36.792,82.70492,GtowardsCl,,,1
36,DES J150824.35+575347.9,15 08 24.3509,+57 53 47.967,89.197235,GtowardsCl,,,1
37,DES J150818.87+575644.9,15 08 18.8784,+57 56 44.997,93.15874,GtowardsCl,,,1
38,DES J150827.92+575351.3,15 08 27.9251,+57 53 51.397,96.40933,GtowardsCl,,,1
39,DES J150813.23+575403.3,15 08 13.2333,+57 54 03.381,99.49205,GtowardsCl,,,1
40,DES J150829.27+575635.7,15 08 29.2735,+57 56 35.799,99.88354,GtowardsCl,,,1
41,DES J150819.87+575655.0,15 08 19.8756,+57 56 55.059,101.34891,GtowardsCl,,,1
42,SDSS J150811.93+575401.3,15 08 11.930,+57 54 01.30,108.3684,Galaxy,121824.0,0.53917,1
43,DES J150812.76+575348.3,15 08 12.7684,+57 53 48.372,113.136345,GtowardsCl,,,1
44,DES J150818.85+575322.5,15 08 18.8544,+57 53 22.543,115.04692,GtowardsCl,,,1
45,DES J150821.98+575714.6,15 08 21.9877,+57 57 14.655,119.65728,GtowardsCl,,,1
46,DES J150812.43+575332.5,15 08 12.4354,+57 53 32.594,127.18677,GtowardsCl,,,1
47,DES J150809.26+575356.5,15 08 09.2629,+57 53 56.587,127.630554,GtowardsCl,,,1
48,DES J150827.74+575313.5,15 08 27.7410,+57 53 13.552,130.06424,GtowardsCl,,,1
49,DES J150818.80+575303.1,15 08 18.8058,+57 53 03.135,134.15155,GtowardsCl,,,1
50,DES J150805.50+575557.0,15 08 05.5052,+57 55 57.089,137.20097,GtowardsCl,,,1
51,DES J150813.39+575714.3,15 08 13.3929,+57 57 14.332,137.21747,GtowardsCl,,,1
52,DES J150807.20+575401.1,15 08 07.2022,+57 54 01.176,138.44627,GtowardsCl,,,1
53,DES J150817.86+575300.2,15 08 17.8662,+57 53 00.208,138.57356,GtowardsCl,,,1
54,[VV2006] J150837.8+575632,15 08 37.7813,+57 56 32.847,148.51611,QSO,208646.0,1.36183,1
55,DES J150803.27+575548.7,15 08 03.2794,+57 55 48.796,152.12093,GtowardsCl,,,1
